RelTime,RSPT
0000.000,-936.8
0000.027,-948.2333333333333
0000.054,-961.175
0000.086,-968.2333333333333
0000.120,-969.3083333333332
0000.152,-957.3909090909092
0000.184,-943.225
0000.215,-931.0833333333333
0000.248,-940.6166666666667
0000.281,-980.3666666666667
0000.315,-1011.45
0000.346,-1037.85
0000.378,-1023.8
0000.419,-998.9
0000.451,-974.05
0000.484,-945.6111111111111
0000.518,-912.8
0000.551,-885.35
0000.583,-856.9583333333333
0000.615,-823.6333333333334
0000.648,-799.323076923077
0000.679,-771.7250000000001
0000.719,-739.7249999999999
0000.752,-705.4749999999999
0000.784,-667.6333333333333
0000.817,-637.8076923076924
0000.850,-604.2666666666667
0000.883,-579.9250000000001
0000.916,-562.8749999999999
0000.949,-542.4875
0000.985,-512.4846153846154
0001.020,-465.43333333333334
0001.045,-416.15
0001.085,-353.2
0001.118,-315.4
0001.151,-295.54615384615386
0001.182,-295.51666666666665
0001.215,-293.1666666666667
0001.248,-287.92857142857144
0001.282,-280.9
0001.315,-280.82307692307694
0001.347,-265.5
0001.380,-253.6
0001.414,-237.8923076923077
0001.447,-225.73333333333335
0001.480,-214.46666666666667
0001.513,-195.33333333333331
0001.547,-171.56923076923078
0001.579,-157.09230769230768
0001.612,-146.88333333333333
0001.644,-149.61666666666667
0001.678,-150.0625
0001.719,-139.89230769230767
0001.751,-124.59230769230768
0001.782,-111.26923076923077
0001.814,-102.70000000000002
0001.846,-85.13076923076923
0001.877,-80.06666666666668
0001.917,-71.275
0001.949,-63.866666666666674
0001.981,-61.77499999999999
0002.015,-32.95384615384616
0002.048,-4.353846153846154
0002.082,19.1
0002.114,28.208333333333332
0002.147,28.041666666666664
0002.180,41.50769230769231
0002.211,46.7
0002.251,41.787499999999994
0002.282,38.925000000000004
0002.314,46.2
0002.345,59.75
0002.377,60.05
0002.419,58.575
0002.451,56.35000000000001
0002.484,65.76923076923077
0002.517,60.775
0002.549,68.81666666666666
0002.581,67.8
0002.614,71.82307692307691
0002.647,59.449999999999996
0002.679,61.25000000000001
0002.711,55.3
0002.752,77.43333333333334
0002.787,78.06153846153848
0002.819,87.85
0002.852,93.025
0002.885,92.025
0002.918,95.825
0002.951,89.80000000000001
0002.983,82.14999999999999
0003.016,75.25000000000001
0003.048,69.93333333333334
0003.081,56.66153846153846
0003.114,46.55384615384615
0003.145,40.6
0003.179,40.74166666666667
0003.213,53.333333333333336
0003.246,54.025
0003.278,44.88333333333333
0003.311,30.73333333333333
0003.349,34.2
0003.386,29.766666666666666
0003.419,35.43333333333334
0003.453,32.63333333333333
0003.490,27.0
0003.517,9.066666666666666
0003.554,-6.158333333333333
0003.578,-17.846153846153847
0003.615,-29.52307692307692
0003.651,-38.199999999999996
0003.688,-52.95
0003.715,-59.611111111111114
0003.750,-88.4625
0003.784,-99.73333333333333
0003.817,-117.06666666666668
0003.850,-122.26666666666667
0003.883,-140.46666666666667
0003.916,-157.76666666666668
0003.949,-182.375
0003.986,-204.31666666666666
0004.022,-221.63333333333333
0004.049,-230.59166666666667
0004.084,-238.3
0004.118,-250.78333333333336
0004.153,-250.8
0004.178,-256.3833333333333
0004.213,-259.16666666666663
0004.248,-267.59999999999997
0004.283,-276.4076923076923
0004.319,-279.95
0004.354,-284.0846153846154
0004.378,-283.90000000000003
0004.413,-295.3692307692308
0004.449,-287.35833333333335
0004.486,-294.9923076923077
0004.519,-289.70000000000005
0004.551,-290.9333333333333
0004.585,-279.6
0004.618,-262.7307692307692
0004.653,-252.15
0004.678,-256.51666666666665
0004.711,-251.79166666666669
0004.745,-227.97692307692307
0004.778,-199.5333333333333
0004.819,-163.06666666666666
0004.853,-152.66666666666666
0004.878,-140.1
0004.911,-125.6923076923077
0004.952,-104.1
0004.985,-77.17500000000001
0005.018,-61.175
0005.050,-44.199999999999996
0005.084,-29.93333333333333
0005.118,-8.9625
0005.151,12.5375
0005.183,32.1
0005.217,36.9125
0005.250,44.63846153846154
0005.282,66.74166666666667
0005.313,82.55833333333332
0005.346,98.91666666666666
0005.378,94.98461538461538
0005.422,102.97692307692309
0005.446,120.55833333333332
0005.483,147.0583333333333
0005.518,166.59166666666667
0005.550,163.00769230769234
0005.585,161.1
0005.619,157.86666666666667
0005.653,166.675
0005.686,150.6
0005.719,153.03333333333333
0005.752,137.01666666666668
0005.785,124.33333333333334
0005.818,124.0
0005.851,115.08461538461538
0005.884,112.17499999999998
0005.918,99.5
0005.952,90.90769230769232
0005.985,81.32727272727273
0006.020,83.58333333333333
0006.045,85.12307692307692
0006.087,99.86666666666667
0006.120,109.875
0006.153,115.1875
0006.179,114.6
0006.211,102.0923076923077
0006.253,111.73076923076924
0006.286,119.03333333333335
0006.319,121.125
0006.353,103.66666666666667
0006.378,100.45384615384616
0006.420,71.33333333333333
0006.454,68.6923076923077
0006.481,62.075
0006.516,68.01538461538462
0006.545,68.7
0006.586,67.9
0006.618,54.5875
0006.650,54.199999999999996
0006.683,48.34615384615385
0006.715,37.3
0006.748,43.150000000000006
0006.780,43.74166666666667
0006.813,44.707692307692305
0006.848,43.53333333333333
0006.881,35.699999999999996
0006.915,21.325000000000003
0006.951,9.0
0006.987,-1.075
0007.012,-8.1
0007.046,-22.25
0007.083,-59.75
0007.119,-106.3
0007.145,-134.62307692307692
0007.185,-153.925
0007.219,-165.4
0007.252,-184.66666666666666
0007.285,-204.88333333333335
0007.317,-211.83846153846153
0007.350,-230.78333333333333
0007.383,-242.26666666666668
0007.415,-245.71666666666667
0007.447,-243.50000000000003
0007.478,-239.175
0007.519,-247.3875
0007.546,-254.73076923076923
0007.579,-256.7166666666667
0007.621,-253.05384615384617
0007.645,-246.76666666666668
0007.686,-244.35
0007.718,-239.26666666666665
0007.750,-235.72307692307692
0007.783,-217.9083333333333
0007.816,-203.34166666666667
0007.848,-177.66666666666669
0007.879,-165.45384615384614
0007.920,-137.66153846153847
0007.952,-97.82499999999999
0007.984,-13.412500000000001
0008.018,259.85
0008.052,1091.123076923077
0008.085,2219.633333333333
0008.118,3224.7666666666664
0008.152,3782.5750000000003
0008.185,3909.3
0008.219,3909.291666666667
0008.252,3909.108333333333
0008.287,3909.1083333333327
0008.321,3909.2
0008.348,3909.2
0008.379,3909.275
0008.413,3909.3
0008.446,3909.3
0008.479,3909.038461538462
0008.512,3908.883333333333
0008.550,3909.1
0008.584,3909.4666666666667
0008.618,3903.1
0008.652,3861.9333333333334
0008.685,3784.730769230769
0008.719,3672.875
0008.753,3556.9333333333334
0008.785,3451.575
0008.819,3342.284615384616
0008.852,3240.508333333333
0008.885,3142.0999999999995
0008.917,3060.2
0008.952,2958.8250000000003
0008.986,2862.2
0009.018,2779.125
0009.052,2692.8
0009.085,2616.8
0009.118,2536.9923076923083
0009.152,2458.05
0009.185,2384.95
0009.219,2312.25
0009.253,2241.053846153846
0009.286,2172.3500000000004
0009.320,2106.75
0009.354,2043.3875
0009.386,1985.6
0009.421,1921.9
0009.455,1535.7307692307693
0009.480,1171.6499999999999
0009.513,630.9833333333333
0009.550,-385.3384615384616
0009.582,-1134.6846153846154
0009.618,-1925.475
0009.653,-2275.7666666666664
0009.688,-2296.4583333333335
0009.714,-2295.6769230769232
0009.747,-2296.1583333333333
0009.780,-2296.4666666666667
0009.813,-2296.375
0009.847,-2295.2333333333336
0009.880,-2295.5249999999996
0009.913,-2295.708333333333
0009.946,-2296.6
0009.978,-2296.9384615384615
0010.023,-2297.4
0010.056,-2297.4538461538464
0010.084,-2297.4
0010.119,-2296.85
0010.154,-2294.8076923076924
0010.179,-2293.5625
0010.213,-2290.85
0010.247,-2286.525
0010.282,-2280.383333333333
0010.314,-2272.6
0010.347,-2258.125
0010.378,-2241.9833333333336
0010.419,-2209.8875
0010.451,-2172.207692307692
0010.484,-2124.775
0010.516,-2068.9500000000003
0010.551,-2005.0333333333335
0010.583,-1940.246153846154
0010.615,-1868.1538461538462
0010.647,-1800.8
0010.714,-1688.1923076923076
0010.722,-1675.3
0010.748,-1631.6083333333331
0010.786,-1579.9538461538461
0010.813,-1540.6
0010.850,-1483.0500000000002
0010.886,-1424.2666666666667
0010.924,-1393.3
0010.951,-1359.7583333333332
0010.987,-1317.3666666666668
0011.012,-1290.4166666666667
0011.047,-1256.7
0011.083,-1222.2583333333332
0011.120,-1179.6
0011.145,-1150.8692307692309
0011.180,-1119.2375
0011.217,-1095.2624999999998
0011.252,-1084.975
0011.287,-1050.775
0011.313,-1031.6
0011.348,-1000.590909090909
0011.382,-980.4
0011.416,-964.5250000000001
0011.452,-958.4
0011.486,-953.2461538461539
0011.511,-967.3499999999999
0011.550,-968.1
0011.584,-968.576923076923
0011.620,-938.2076923076922
0011.646,-918.1500000000001
0011.681,-895.4
0011.716,-872.1500000000001
0011.752,-859.5999999999999
0011.785,-851.8888888888889
0011.820,-842.6500000000001
0011.846,-830.925
0011.882,-792.6
0011.917,-781.7153846153847
0011.952,-762.675
0011.987,-759.4916666666667
0012.014,-750.2083333333333
0012.050,-732.7666666666667
0012.086,-714.2615384615385
0012.113,-692.9
0012.149,-672.0375
0012.184,-649.4375
0012.219,-634.4375
0012.245,-622.1666666666666
0012.281,-607.9333333333334
0012.318,-590.05
0012.353,-575.9
0012.379,-563.4666666666666
0012.415,-551.5846153846154
0012.452,-528.7750000000001
0012.487,-507.2583333333333
0012.512,-485.16153846153844
0012.549,-465.3666666666667
0012.584,-447.1166666666667
0012.620,-426.26666666666665
0012.646,-407.4769230769231
0012.682,-383.1666666666667
0012.718,-361.875
0012.754,-357.0
0012.780,-346.1333333333333
0012.816,-335.5
0012.852,-310.7307692307692
0012.887,-301.15000000000003
0012.913,-288.45
0012.947,-277.96666666666664
0012.981,-249.27692307692308
0013.015,-230.9923076923077
0013.051,-213.36153846153846
0013.086,-206.56666666666666
0013.120,-192.01538461538462
0013.146,-167.76250000000002
0013.180,-160.03333333333336
0013.217,-135.4
0013.253,-120.5125
0013.278,-105.96666666666667
0013.313,-92.81666666666668
0013.348,-76.3
0013.382,-66.49999999999999
0013.417,-59.98461538461538
0013.451,-59.266666666666666
0013.484,-61.98333333333332
0013.517,-53.77499999999999
0013.553,-37.92307692307692
0013.578,-41.8
0013.614,-53.7
0013.648,-56.6
0013.684,-52.55
0013.719,-40.25
0013.753,-29.258333333333333
0013.778,-29.6
0013.813,-35.26666666666667
0013.847,-41.08461538461538
0013.882,-41.1
0013.916,-34.684615384615384
0013.951,-28.2
0013.984,-20.9
0014.019,-17.9
0014.053,-16.323076923076925
0014.078,-16.5625
0014.112,-11.95
0014.146,-3.95
0014.180,-11.341666666666665
0014.215,-16.587500000000002
0014.250,-25.6
0014.285,-27.407692307692308
0014.319,-33.733333333333334
0014.344,-37.9
0014.379,-41.06666666666666
0014.414,-47.184615384615384
0014.451,-42.21666666666666
0014.485,-38.46153846153845
0014.519,-32.8
0014.546,-37.95
0014.581,-26.7
0014.615,-16.275000000000002
0014.650,-18.253846153846155
0014.685,-21.4
0014.720,-37.84444444444445
0014.745,-34.925
0014.780,-43.21666666666667
0014.817,-40.425
0014.852,-60.69166666666666
0014.887,-63.53333333333334
0014.911,-63.608333333333334
0014.947,-64.3
0014.981,-54.37499999999999
0015.015,-60.8
0015.051,-73.75
0015.085,-99.05000000000001
0015.119,-104.45
0015.154,-101.86666666666666
0015.178,-103.02499999999999
0015.214,-100.58333333333334
0015.250,-115.16666666666666
0015.285,-112.45384615384614
0015.320,-112.04999999999998
0015.354,-109.80000000000001
0015.379,-106.125
0015.414,-115.86666666666666
0015.449,-125.53333333333333
0015.485,-133.41250000000002
0015.519,-141.23333333333335
0015.546,-142.625
0015.580,-147.7
0015.615,-149.05384615384617
0015.651,-153.06153846153845
0015.686,-163.13333333333333
0015.711,-161.175
0015.746,-162.475
0015.782,-163.575
0015.817,-161.99166666666665
0015.852,-164.39999999999998
0015.887,-170.23333333333335
0015.911,-168.5375
0015.945,-160.7076923076923
0015.979,-158.1307692307692
0016.015,-150.75
0016.049,-157.08333333333331
0016.084,-158.6
0016.118,-155.86666666666665
0016.153,-156.51538461538462
0016.177,-149.9083333333333
0016.212,-156.0
0016.247,-147.12307692307692
0016.282,-137.9923076923077
0016.317,-134.13333333333335
0016.352,-129.25
0016.386,-134.1375
0016.421,-129.4375
0016.449,-125.0
0016.486,-120.0
0016.520,-115.0125
0016.547,-111.3
0016.583,-115.37500000000001
0016.618,-121.65
0016.653,-122.775
0016.688,-110.26923076923077
0016.712,-98.6
0016.746,-105.45000000000002
0016.781,-103.66666666666666
0016.817,-100.22307692307692
0016.853,-92.90833333333333
0016.888,-86.6
0016.912,-85.4
0016.947,-77.72500000000001
0016.983,-78.66666666666667
0017.018,-71.8
0017.053,-70.18333333333334
0017.078,-70.11666666666667
0017.112,-66.09230769230768
0017.146,-70.82499999999999
0017.181,-63.40833333333333
0017.218,-58.84166666666666
0017.252,-55.0
0017.286,-57.99999999999999
0017.321,-58.669230769230765
0017.345,-57.5875
0017.380,-49.225
0017.415,-47.93750000000001
0017.451,-50.358333333333334
0017.486,-61.4125
0017.512,-56.15
0017.549,-49.169230769230765
0017.584,-35.9
0017.619,-32.275000000000006
0017.654,-25.674999999999997
0017.679,-23.23846153846154
0017.714,-11.41111111111111
0017.750,-6.084615384615385
0017.786,15.95
0017.820,26.953846153846154
0017.845,37.84615384615385
0017.880,44.166666666666664
0017.914,51.38333333333333
0017.950,69.28333333333333
0017.985,84.06666666666666
0018.022,98.13333333333333
0018.047,106.2923076923077
0018.085,111.6
0018.119,128.68333333333334
0018.154,140.82500000000002
0018.179,157.49230769230772
0018.214,170.6
0018.249,178.9
0018.285,189.85
0018.321,214.5
0018.346,231.0111111111111
0018.380,248.36666666666667
0018.415,256.9666666666667
0018.453,257.65000000000003
