RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,4.6,36.788888888888884,90.375,94.0,98.0
0000.026,2.7461538461538466,36.2,86.0625,94.0,98.0
0000.051,-1.9333333333333333,36.333333333333336,84.5,94.0,98.0
0000.081,-6.425000000000001,33.33846153846154,82.625,94.0,98.0
0000.117,-11.166666666666668,34.525,80.375,94.0,98.0
0000.147,-12.846153846153847,32.9,79.0,94.0,98.0
0000.183,-13.5,30.6625,78.0,94.0,98.0
0000.212,-10.225,38.38333333333333,76.4375,94.0,98.0
0000.248,-9.4,58.237500000000004,76.8125,94.0,98.0
0000.284,-0.6124999999999999,84.55,85.375,94.0,98.0
0000.314,5.5375,100.70833333333331,96.625,94.0,98.0
0000.350,12.65,104.16153846153847,117.75,94.0,98.0
0000.379,14.9,103.64166666666665,124.0,94.0,98.0
0000.417,17.433333333333334,95.65,127.375,94.0,98.0
0000.447,16.976923076923075,82.875,126.75,94.0,98.0
0000.493,13.338461538461539,56.866666666666674,121.625,94.0,98.0
0000.516,12.3,44.9,114.3125,94.0,98.0
0000.545,10.266666666666667,38.675,110.25,94.0,98.0
0000.581,9.607692307692307,34.725,106.4,94.0,98.0
0000.617,9.175,33.275,100.25,94.0,98.0
0000.646,11.608333333333333,32.32222222222222,96.625,94.0,98.0
0000.682,5.55,32.825,90.125,94.0,98.0
0000.711,1.5333333333333332,32.12499999999999,87.5,94.0,98.0
0000.747,-1.6666666666666667,30.400000000000006,85.0,94.0,98.0
0000.782,-7.325000000000001,24.13076923076923,82.0,94.0,98.0
0000.819,-9.75,21.858333333333334,80.5,94.00000000000001,98.0
0000.848,-15.500000000000002,17.3,79.0,94.0,98.0
0000.885,-16.623076923076923,16.108333333333334,78.0,94.0,98.0
0000.914,-15.830769230769231,12.641666666666666,77.0,94.0,98.0
0000.952,-7.2,15.0,78.8125,94.0,98.0
0000.981,-7.533333333333333,17.553846153846152,83.5,94.0,98.0
0001.017,-5.341666666666667,19.3,104.125,94.0,98.0
0001.046,-4.9,22.55,115.4375,94.0,98.0
0001.082,-0.3083333333333334,20.575,125.875,94.0,98.0
0001.116,-6.3,18.184615384615384,128.0625,94.0,97.99999999999999
0001.151,-3.8499999999999996,15.808333333333335,126.5,94.0,98.0
0001.180,-6.838461538461539,20.375,122.8125,94.0,98.0
0001.216,-9.966666666666667,27.6,116.375,94.0,98.0
0001.245,-12.100000000000001,29.60769230769231,110.875,94.0,98.0
0001.281,-6.825,28.85,107.625,94.0,98.0
0001.316,8.284615384615385,27.0,101.875,94.0,98.0
0001.345,28.03333333333333,27.05,98.25,94.0,98.0
0001.381,45.85,20.8125,93.75,94.0,98.0
0001.417,54.233333333333334,11.23846153846154,88.125,94.0,98.0
0001.448,44.3,-0.49999999999999967,85.1875,94.00000000000001,98.0
0001.478,29.53333333333333,-11.350000000000001,83.0,94.0,98.0
0001.514,9.207692307692309,-31.15,81.0625,94.0,98.0
0001.550,-7.133333333333334,-68.8,80.0,94.0,98.0
0001.578,-17.0375,-100.7,79.0625,94.0,98.0
0001.614,-28.1,-151.26666666666665,78.0,94.0,98.0
0001.649,-32.77777777777777,-187.93333333333334,77.375,94.0,98.0
0001.678,-39.375,-218.35,79.375,94.0,98.0
0001.713,-53.13333333333333,-255.37692307692305,93.80000000000001,94.0,98.0
0001.750,-78.93076923076923,-293.5,110.25,94.0,98.0
0001.778,-103.50833333333333,-321.1888888888889,120.0,93.97619047619047,97.99999999999999
0001.814,-133.25,-345.2846153846154,128.70588235294116,93.86904761904762,98.0
0001.850,-162.55,-364.57500000000005,130.0,93.76190476190476,97.99999999999999
