RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,-162.35,10.500000000000002,98.0,80.0,99.0
0000.021,-161.63333333333335,12.6,97.0,80.0,99.0
0000.049,-160.85000000000002,14.561538461538463,97.0,80.0,99.0
0000.082,-161.3625,16.53076923076923,96.0,80.0,99.0
0000.115,-158.3,19.166666666666664,95.0,80.0,99.0
0000.147,-157.6375,20.46666666666667,95.0,80.0,99.0
0000.178,-156.2625,19.876923076923077,95.0,80.0,99.0
0000.217,-154.57500000000002,21.2625,94.625,80.0,98.98214285714285
0000.248,-150.8846153846154,23.0875,94.0,80.0,98.88988095238096
0000.279,-148.86666666666667,26.9,94.0,80.0,98.79761904761905
0000.317,-142.57500000000002,27.925000000000004,94.0,80.0,98.6845238095238
0000.349,-137.4,30.269230769230766,94.0,80.0,98.58928571428572
0000.381,-127.23076923076923,31.108333333333334,94.625,80.0,98.49404761904762
0000.419,-115.46923076923076,35.25,98.0,80.0,98.38095238095238
0000.451,-108.0,37.875,105.0,80.0,98.28571428571428
0000.483,-102.65,37.63846153846154,107.0,80.0,98.19047619047619
0000.515,-102.5,37.223076923076924,106.0,80.0,98.0952380952381
0000.546,-105.1,37.0,106.0,80.0,98.00297619047619
0000.583,-108.63846153846154,36.33333333333333,105.75,80.0,98.0
0000.615,-109.32307692307691,35.725,104.75,80.0,98.0
0000.646,-108.28333333333333,36.5,103.8125,80.0,98.0
0000.684,-109.1125,38.8,100.4375,80.0,98.0
0000.715,-108.89999999999999,40.63076923076923,100.0,80.0,98.0
0000.746,-111.4,41.025,99.0,80.0,98.0
0000.783,-116.44999999999999,41.125,99.0,80.0,98.0
0000.815,-121.9,41.86923076923077,98.0,80.0,98.0
0000.847,-128.875,39.266666666666666,97.0,80.0,98.0
0000.880,-136.57692307692307,37.96666666666667,96.0,80.0,98.0
0000.917,-144.1,33.4,95.875,80.0,98.00000000000001
0000.949,-153.2,31.907692307692308,95.0,80.0,98.0
0000.980,-160.9,27.949999999999996,95.0,80.0,98.0
0001.017,-161.83076923076922,25.233333333333334,94.0,80.0,98.0
0001.047,-158.60000000000002,23.3125,94.0,80.0,98.0
0001.078,-150.43333333333334,21.0375,94.0,80.0,98.0
0001.116,-140.1,19.892307692307693,94.0,80.0,98.0
0001.147,-128.0923076923077,17.725,95.0,80.0,98.0
0001.179,-117.46666666666667,16.366666666666667,95.0,80.0,98.0
0001.217,-106.3,15.4625,95.88235294117646,80.0,98.0
0001.248,-98.625,17.023076923076925,101.4375,79.81875,98.0
0001.280,-98.0625,16.2,105.64705882352942,79.61875,98.0
0001.317,-95.625,17.616666666666667,108.0,79.3875,98.0
0001.348,-98.54166666666667,16.907692307692308,107.9375,79.19375,98.0
0001.380,-100.62307692307692,17.8,107.0,78.99375,98.0
0001.413,-106.11666666666667,19.6,107.0,78.7875,98.0
0001.450,-109.125,20.96666666666667,106.0,78.55625,98.0
0001.482,-112.18333333333332,20.7,103.5625,78.35625,98.0
0001.513,-112.3,19.900000000000002,101.625,78.1625,98.0
0001.545,-114.0,18.65,100.0,78.0,98.0
0001.577,-116.90833333333333,18.5,99.625,78.0,98.00000000000001
0001.617,-125.25,17.4375,99.0,78.0,98.0
0001.650,-134.51666666666665,16.68888888888889,98.0,78.0,98.0
0001.681,-141.47499999999997,15.166666666666668,97.06666666666666,78.0,98.0
0001.714,-152.45,13.45,97.0,78.0,98.0
0001.746,-165.2,11.715384615384615,96.0,78.0,98.0
0001.784,-183.7833333333333,7.449999999999999,95.0,78.0,98.0
0001.815,-198.9,4.449999999999999,95.0,78.0,98.0
0001.846,-212.3,3.15,95.0,78.0,98.0
0001.878,-221.95,1.1076923076923075,95.0,78.0,98.00000000000001
0001.915,-231.93750000000003,-1.4416666666666667,95.0,78.0,98.0
0001.947,-234.31538461538466,-3.7,95.0,78.0,98.0
0001.984,-236.975,-5.716666666666667,95.0,78.0,98.0
0002.017,-241.93333333333328,-6.788888888888889,95.0,78.0,98.0
0002.049,-245.90000000000003,-9.825,95.0,78.0,98.0
0002.081,-247.96923076923076,-13.525,96.9375,78.0,98.0
0002.113,-246.72500000000002,-18.0,103.8125,78.0,98.0
0002.139,-240.29999999999998,-19.261538461538464,106.5625,78.0,98.0
0002.182,-226.60000000000002,-13.453846153846154,108.0,78.0,98.0
0002.214,-213.96923076923076,-4.483333333333333,107.0,78.0,98.0
0002.240,-210.01250000000002,4.7,107.0,78.0,98.0
0002.281,-204.36666666666667,12.933333333333334,105.0,78.0,98.0
0002.312,-205.63333333333333,16.446153846153848,103.625,78.0,98.0
0002.349,-204.9125,17.008333333333333,101.0,78.0,98.0
0002.381,-205.3,18.05,100.0,78.0,98.0
0002.413,-204.55,19.299999999999997,100.0,78.0,98.0
0002.451,-200.675,19.816666666666666,99.0,78.0,98.0
0002.484,-198.325,21.39230769230769,98.875,78.0,98.0
0002.517,-194.81538461538463,22.575,97.0,78.0,98.0
0002.548,-194.03333333333336,24.616666666666667,96.875,78.0,98.0
