RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,-475.77500000000003,25.075,127.3125,95.0,96.0
0000.025,-465.5666666666667,23.825000000000003,123.75,95.0,96.0
0000.050,-454.4,22.8,121.375,95.0,96.0
0000.080,-441.18461538461537,21.175,116.625,95.0,96.0
0000.118,-426.2444444444444,24.183333333333334,110.875,95.0,96.0
0000.148,-419.65,22.975,106.1875,95.0,96.0
0000.185,-422.2,25.93076923076923,93.0,95.0,96.0
0000.215,-430.8,26.325,85.5,95.0,96.0
0000.252,-434.10833333333335,24.8125,78.125,95.0,96.0
0000.282,-432.5916666666667,20.516666666666666,74.3125,95.0,96.0
0000.319,-420.89166666666665,17.8,77.25,95.0,96.0
0000.349,-410.4666666666667,16.8,89.0,95.0,96.0
0000.386,-398.9,19.6,101.0625,95.0,96.0
0000.418,-393.7,21.924999999999997,107.625,95.0,96.0
0000.448,-388.67499999999995,21.2,109.0,95.0,96.0
0000.484,-382.1,21.550000000000004,107.0625,94.99999999999999,95.99999999999999
0000.519,-373.6833333333334,20.66923076923077,100.625,95.0,96.0
0000.548,-367.87777777777774,18.25,95.1875,95.0,96.0
0000.583,-364.82307692307694,18.03333333333333,88.875,95.0,96.0
0000.619,-361.9666666666667,18.45,86.625,95.0,96.0
0000.648,-358.0,16.4,86.0,95.0,96.0
0000.683,-349.73333333333335,14.916666666666668,84.625,95.0,96.0
0000.719,-339.33750000000003,14.141666666666666,83.375,95.0,96.0
0000.747,-329.025,11.4,81.0,95.0,95.99999999999999
0000.783,-318.9,10.6,81.625,95.0,96.0
0000.814,-308.5,8.616666666666667,82.5625,95.0,96.0
0000.849,-297.4615384615385,5.633333333333334,84.0,95.0,96.0
0000.884,-288.25,3.9,84.9375,95.0,96.0
0000.914,-282.3,0.8749999999999999,85.0,95.0,96.0
0000.950,-273.92499999999995,-4.530769230769231,86.125,95.0,96.0
0000.979,-266.85555555555555,-9.384615384615383,90.625,95.0,96.0
0001.014,-258.3846153846154,-12.675,106.3125,95.0,96.0
0001.050,-253.85833333333335,-13.85,116.9375,95.0,96.0
0001.085,-250.8125,-14.333333333333334,121.0,95.00000000000001,96.0
0001.113,-248.3846153846154,-14.766666666666667,119.75,95.0,96.0
0001.148,-242.4,-13.200000000000001,113.6875,95.0,96.0
0001.183,-240.02499999999998,-13.6,107.125,95.0,96.0
0001.213,-237.0,-12.450000000000001,103.0,95.0,96.0
0001.249,-237.825,-15.35,99.0,95.0,96.0
0001.286,-235.05,-17.338461538461537,97.9375,95.0,96.0
0001.315,-231.225,-19.384615384615387,95.1764705882353,95.0,96.0
0001.350,-228.87499999999997,-23.375,92.9375,95.0,96.0
0001.386,-223.8,-23.3,90.0,95.0,96.0
0001.414,-219.5,-20.446153846153845,89.9375,95.0,96.0
0001.450,-215.525,-17.34166666666667,89.0,95.0,96.0
0001.480,-214.48888888888888,-16.333333333333336,89.0,95.0,96.0
0001.516,-210.3,-17.725,89.0,95.0,96.0
0001.552,-210.4375,-16.73076923076923,89.0,95.0,96.0
0001.581,-208.8,-17.65833333333333,89.5,95.0,96.0
0001.618,-213.55555555555557,-16.025000000000002,91.625,95.0,96.0
0001.647,-211.86666666666667,-16.516666666666666,101.125,95.0,96.0
0001.682,-208.5,-14.533333333333335,111.25,95.0,96.0
0001.717,-204.3,-18.3,116.0,95.0,96.0
0001.746,-202.2666666666667,-19.35,112.375,95.0,96.0
0001.783,-205.45000000000002,-17.6,102.5,95.0,96.0
0001.818,-208.7,-15.55,95.0625,95.0,96.0
0001.847,-207.06666666666666,-12.166666666666668,89.625,95.0,96.0
0001.882,-204.93076923076922,-10.8,84.6875,95.0,96.0
0001.917,-200.41538461538465,-11.85,84.0,95.0,96.0
0001.947,-199.3,-10.4,85.0,95.0,96.0
0001.983,-196.3,-9.569230769230769,84.0,95.0,96.0
0002.014,-192.425,-9.25,83.0,95.0,96.0
0002.051,-187.53333333333333,-9.7,82.875,95.0,96.0
0002.081,-179.4,-9.008333333333333,83.75,95.0,95.99999999999999
0002.116,-176.05,-5.633333333333333,85.9375,95.0,96.0
0002.146,-169.925,-2.5875,86.8125,95.0,95.99999999999999
0002.181,-167.16153846153847,-2.1666666666666665,88.0,95.0,96.0
0002.217,-161.55555555555554,-1.8000000000000003,90.25,95.0,96.0
0002.247,-155.6,-5.269230769230769,92.125,95.0,96.0
0002.282,-150.9,-6.0,100.25,95.0,96.0
0002.318,-146.325,-5.75,112.375,95.0,96.0
0002.348,-140.7846153846154,-3.6,127.3125,95.0,96.0
0002.384,-132.94615384615386,-1.225,130.6875,95.0,96.0
0002.414,-125.14166666666665,0.46153846153846156,128.75,94.98475609756098,96.0
0002.449,-119.4,0.8230769230769232,121.4,94.9314024390244,95.99999999999999
0002.485,-113.25,2.5,115.8125,94.8765243902439,96.0
0002.514,-108.35384615384615,2.8666666666666667,110.125,94.83231707317073,96.0
0002.550,-102.29999999999998,2.2249999999999996,109.0,94.77743902439025,96.0
0002.585,-99.85,2.9846153846153847,108.6875,94.72408536585367,96.0
0002.614,-96.4,6.7,107.93333333333334,94.6798780487805,96.0
0002.651,-95.2,10.05,105.6,94.6234756097561,96.0
0002.683,-86.7,13.8125,103.5625,94.57469512195122,96.0
0002.713,-80.49999999999999,15.344444444444445,102.0,94.52896341463415,96.0
0002.748,-75.875,12.7625,100.0,94.47560975609755,96.0
0002.785,-72.5923076923077,11.425,97.375,94.41920731707316,96.0
0002.816,-67.92307692307692,10.2,95.25,94.3719512195122,96.0
0002.853,-57.11666666666667,9.661538461538461,93.0,94.3155487804878,96.0
0002.881,-48.05833333333333,11.53846153846154,93.8125,94.27286585365854,96.0
0002.917,-26.033333333333335,12.366666666666667,100.25,94.21798780487805,96.0
0002.946,-8.099999999999998,12.3,109.25,94.17378048780488,96.0
0002.981,11.625,10.1,124.1875,94.1204268292683,96.0
0003.016,19.1,9.646153846153847,127.625,94.0670731707317,96.0
0003.052,20.266666666666666,12.4,126.5,94.01219512195122,96.0
0003.081,21.0,13.85,121.375,94.0,96.0
0003.117,29.333333333333336,13.799999999999999,115.875,93.99999999999999,96.0
0003.146,39.53333333333334,13.677777777777777,109.625,94.0,96.0
0003.182,52.43333333333334,10.9875,107.375,94.0,96.0
0003.219,55.01538461538462,11.791666666666668,105.0625,94.0,96.0
0003.247,52.88333333333333,11.7,101.625,94.0,96.0
0003.282,48.925,9.307692307692307,99.125,94.0,96.0
0003.319,46.675000000000004,10.607692307692309,95.8125,94.0,96.0
0003.348,46.1,9.549999999999999,94.0,94.0,96.0
0003.386,40.530769230769224,11.100000000000001,90.625,94.0,96.0
0003.415,33.5125,10.533333333333333,89.8125,94.0,96.0
0003.451,30.183333333333334,10.708333333333332,88.0,94.0,96.0
0003.480,28.65,12.075,87.0,94.0,96.0
0003.515,30.6,10.533333333333333,87.4375,94.0,96.0
0003.548,32.93076923076923,11.566666666666666,92.5,94.0,96.0
0003.585,35.15833333333333,13.8,102.875,94.0,96.0
0003.616,33.108333333333334,15.683333333333335,114.5,94.0,96.0
0003.652,33.45,17.2,126.0,94.0,96.0
0003.681,31.966666666666665,17.483333333333334,127.0,94.0,96.0
0003.718,29.025,13.933333333333334,123.75,94.0,96.0
0003.747,26.06666666666667,12.416666666666668,120.125,94.0,96.0
0003.784,23.075000000000003,14.415384615384614,111.5,94.0,96.00000000000001
0003.814,19.96153846153846,13.4,107.875,94.0,95.99999999999999
0003.850,18.900000000000002,12.1,105.625,94.0,96.0
0003.880,14.466666666666667,9.138461538461538,102.75,94.0,96.0
0003.916,8.5,7.1,100.5,94.0,96.0
0003.946,5.684615384615384,4.55,98.0,94.0,96.0
0003.982,0.35,6.6,97.0,94.0,96.0
0004.018,-3.0,7.425,95.125,94.0,96.0
0004.047,-12.3,12.569230769230767,94.0,94.0,96.0
0004.083,-19.9625,12.015384615384615,94.0,94.0,96.0
0004.113,-28.2,11.5,93.0,94.0,96.0
0004.148,-36.6,9.966666666666667,92.0,94.0,96.0
0004.183,-48.258333333333326,9.433333333333334,94.375,94.0,96.0
0004.213,-57.41666666666667,10.23846153846154,101.3125,94.0,96.0
0004.250,-70.55,10.1,114.25,94.0,96.0
0004.279,-80.56923076923076,7.966666666666667,126.375,94.0,96.0
0004.315,-86.4,9.2,128.0,94.0,96.0
0004.350,-91.30000000000001,11.975,125.75,94.0,96.0
0004.380,-94.825,11.833333333333332,121.5,94.0,96.0
0004.418,-96.56666666666666,12.275,114.375,94.00000000000001,96.0
0004.447,-99.1125,6.716666666666667,107.625,94.0,96.0
0004.483,-98.2,4.541666666666666,105.0625,94.0,95.99999999999999
0004.518,-97.7,2.666666666666667,101.625,94.0,96.0
0004.548,-98.46923076923076,4.516666666666666,98.875,94.0,96.0
0004.584,-97.19999999999999,5.283333333333333,93.75,94.0,96.0
0004.613,-99.4,4.138461538461539,91.9375,94.0,96.0
0004.649,-97.53333333333333,2.216666666666667,90.6875,94.0,96.0
0004.686,-98.25384615384615,2.7333333333333334,87.375,94.0,96.0
0004.715,-96.86153846153846,3.4625,85.5625,94.0,96.0
0004.750,-96.0,1.6875,83.375,94.0,96.0297619047619
0004.786,-95.54166666666666,2.746153846153846,83.0,94.0,96.13690476190476
0004.817,-91.3625,1.7666666666666666,83.8125,94.0,96.22916666666666
0004.846,-91.30000000000001,2.45,92.125,94.0,96.3154761904762
0004.882,-89.78750000000001,1.3,103.375,94.0,96.42261904761904
0004.918,-93.13333333333334,0.9692307692307692,116.125,94.0,96.5297619047619
0004.947,-92.9,-0.7,117.9375,94.0,96.61607142857142
0004.983,-90.00769230769231,-4.175,116.625,94.0,96.72321428571428
0005.019,-88.58888888888887,-1.7,109.6875,94.0,96.83035714285714
0005.049,-85.68333333333332,-1.5153846153846153,105.375,94.0,96.91964285714286
0005.086,-84.26666666666667,1.1615384615384616,100.375,94.0,97.0
0005.114,-82.18461538461538,-1.85,99.625,93.99999999999999,97.0
0005.150,-78.58461538461539,-2.8,97.375,94.0,97.0
0005.186,-79.26923076923077,-1.7999999999999998,95.125,94.0,97.0
0005.216,-78.975,-2.4153846153846157,93.25,94.0,97.0
0005.251,-80.075,-1.7666666666666666,89.0625,94.0,97.0
0005.280,-78.1,-5.35,86.25,94.0,97.0
0005.316,-80.79166666666667,-7.5,85.0,94.0,97.0
0005.353,-80.925,-8.6,82.0,94.0,97.0
0005.381,-81.55,-8.450000000000001,81.0,94.0,97.0
0005.417,-80.1875,-7.608333333333333,81.0,94.0,97.0
0005.447,-79.28333333333333,-6.3,82.375,94.0,97.0
0005.485,-77.9,-5.300000000000001,94.8125,94.0,97.0
0005.516,-78.17500000000001,-5.269230769230769,105.5,94.0,97.0
0005.547,-78.9,-7.933333333333334,113.3125,94.0,97.0
0005.584,-78.86923076923077,-8.8,116.0,94.0,97.0
0005.614,-77.75,-7.2846153846153845,113.375,94.0,97.0
0005.650,-75.35,-4.9,106.375,94.0,97.0
0005.686,-72.0,-3.6923076923076925,100.75,94.0,97.0
0005.715,-70.3076923076923,-5.9,98.0625,94.0,97.0
0005.750,-72.48461538461538,-4.1000000000000005,96.0,94.0,97.0
0005.786,-72.19999999999999,-3.1083333333333334,94.625,94.0,97.0
0005.814,-71.725,-3.9153846153846157,91.875,94.0,97.0
0005.850,-70.9,-6.9,89.25,94.0,97.0
