RelTime,RSPT
0000.000,-39.715384615384615
0000.011,-35.266666666666666
0000.021,-30.01666666666667
0000.046,-16.06153846153846
0000.071,4.25
0000.095,22.099999999999998
0000.118,33.166666666666664
0000.159,49.550000000000004
0000.192,62.275
0000.224,84.34545454545454
0000.256,108.96666666666667
0000.287,127.58888888888889
0000.316,137.16153846153847
0000.355,138.85
0000.387,136.6
0000.412,130.23333333333332
0000.458,130.07500000000002
0000.491,122.95
0000.523,122.17692307692307
0000.556,117.44999999999999
0000.587,115.225
0000.619,111.75
0000.652,110.19090909090909
0000.684,108.12
0000.725,117.9
0000.758,125.06666666666666
0000.791,135.33333333333334
0000.823,141.79166666666669
0000.856,139.33076923076922
0000.889,132.98333333333335
0000.921,133.425
0000.955,134.73076923076923
0000.988,142.025
0001.021,135.63333333333333
0001.053,127.55000000000001
0001.086,123.91666666666666
0001.118,115.60000000000001
0001.152,114.65
0001.185,101.875
0001.227,102.66666666666666
0001.251,100.75384615384615
0001.284,96.6
0001.326,90.10000000000001
0001.358,79.9
0001.391,73.05
0001.423,74.7
0001.455,79.9
0001.487,88.7
0001.519,99.0
0001.554,97.45454545454544
0001.587,89.44615384615385
0001.620,83.16666666666667
0001.654,77.18333333333332
0001.687,81.975
0001.720,80.94545454545454
0001.754,79.83846153846154
0001.786,72.25
0001.819,66.97500000000001
0001.847,54.975
0001.884,43.725
0001.924,25.876923076923077
0001.961,16.444444444444443
0001.986,9.925
0002.021,-9.275
0002.057,-29.284615384615385
0002.091,-50.36923076923077
0002.124,-74.8
0002.157,-86.8
0002.189,-103.925
0002.223,-114.9
0002.254,-123.6625
0002.287,-131.0916666666667
0002.319,-134.4
0002.345,-139.05384615384617
0002.391,-143.83333333333331
0002.424,-160.77777777777777
0002.457,-170.71666666666664
0002.489,-195.4
0002.521,-197.53846153846155
0002.553,-207.20000000000002
0002.586,-214.575
0002.611,-213.87692307692308
0002.659,-220.45
0002.697,-219.5
0002.725,-222.29999999999998
0002.760,-221.45
0002.786,-217.16666666666669
0002.821,-211.85833333333332
0002.855,-210.35
0002.892,-209.7
0002.925,-203.73846153846154
0002.960,-187.125
0002.985,-172.2
0003.012,-157.6
0003.058,-128.3
0003.091,-106.96666666666667
0003.124,-81.76666666666667
0003.158,-58.35
0003.192,-39.7375
0003.226,-31.4
0003.259,-28.0
0003.292,-9.50769230769231
