RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,-378.3875,-31.916666666666668,93.5,82.00000000000001,98.0
0000.013,-374.7,-31.5,96.25,82.0,98.0
0000.038,-366.55,-31.56666666666667,103.375,82.0,98.0
0000.061,-357.5307692307692,-32.66666666666667,109.25,82.0,98.0
0000.077,-352.0,-30.833333333333336,115.3125,82.0,98.0
0000.120,-337.4,-26.333333333333336,117.0,82.0,98.0
0000.142,-331.1,-25.5,117.0,82.0,98.0
0000.179,-318.8,-22.85,114.3125,82.0,98.0
0000.219,-309.2125,-29.324999999999996,110.625,82.0,98.0
0000.256,-304.3875,-39.08333333333333,106.5,82.0,98.0
0000.285,-303.24444444444447,-45.93846153846154,106.0,82.0,98.0
0000.321,-299.7833333333333,-49.54615384615385,106.0,82.0,98.0
0000.347,-296.9,-50.15,106.0,82.00000000000001,98.0
0000.388,-292.0,-45.150000000000006,105.25,82.0,98.0
0000.410,-288.5,-44.7,104.0,82.0,98.0
0000.452,-276.7416666666667,-42.99999999999999,102.2,82.0,98.0
0000.484,-272.65,-44.53333333333333,100.1875,82.0,98.0
0000.520,-265.55384615384617,-45.29230769230769,99.0,82.0,98.0
0000.541,-264.1,-45.1,98.625,82.0,98.0
0000.586,-248.01666666666665,-46.8,96.8125,82.0,98.0
0000.609,-243.2,-46.483333333333334,95.375,82.0,98.0
0000.644,-234.0,-47.43846153846154,93.0,82.08630952380953,97.99999999999999
0000.679,-225.42499999999998,-44.20833333333333,92.0,82.19047619047619,98.0
0000.718,-214.525,-43.74166666666667,94.3125,82.30654761904762,98.0
0000.754,-199.93333333333334,-42.233333333333334,104.75,82.41369047619048,98.0
0000.777,-194.4153846153846,-43.03333333333334,109.25,82.48214285714286,98.0
0000.812,-181.4230769230769,-43.15,113.0,82.58630952380952,98.0
0000.848,-166.14999999999998,-40.8,111.4375,82.69345238095238,98.0
0000.876,-153.39166666666668,-39.05,110.6875,82.77678571428572,98.0
0000.912,-134.93076923076922,-36.715384615384615,105.875,82.88392857142857,98.0
0000.952,-116.91538461538461,-36.324999999999996,100.9375,83.0,98.0
0000.986,-99.73076923076924,-35.93333333333334,97.8235294117647,83.0,98.0
0001.009,-91.1,-35.06923076923077,96.4375,82.99999999999999,98.0
0001.044,-84.39999999999999,-35.475,95.25,83.0,98.00000000000001
0001.084,-76.0,-33.10000000000001,92.75,83.0,98.0
0001.119,-68.33333333333333,-30.1,90.53333333333333,83.0,98.0
0001.154,-58.10000000000001,-26.25,87.3125,83.0,98.0
0001.175,-52.7375,-24.975,86.05882352941177,83.0,98.0
0001.221,-35.05384615384615,-24.73846153846154,83.125,83.0,98.0
0001.242,-27.875,-24.9,82.8125,83.0,98.0
0001.278,-9.966666666666665,-21.3,81.0,83.0,98.0
0001.320,8.775,-17.876923076923077,79.0,83.0,98.0
0001.351,23.7125,-13.433333333333334,78.0,83.0,98.0
0001.375,39.46666666666667,-11.7,75.5,83.0,98.0
0001.418,68.66666666666666,-6.000000000000001,75.375,83.0,98.0
0001.442,85.15384615384616,-1.2230769230769232,78.375,83.0,98.0
0001.486,107.65384615384616,5.6923076923076925,92.3125,83.0,98.0
0001.521,123.05,9.875,96.625,83.0,98.0
0001.546,136.63076923076923,11.65,98.0,83.0,98.0
0001.586,156.6,14.7,97.3125,83.0,98.0
0001.609,166.8,16.625,95.75,83.0,98.0
0001.644,182.64999999999998,19.966666666666665,92.6875,83.0,98.0
0001.679,193.77499999999998,23.999999999999996,89.5,83.0,98.00000000000001
0001.718,203.7375,26.525,89.0,83.0,98.0
0001.753,214.03333333333333,28.68888888888889,89.0,83.0,98.0
0001.774,217.35,28.833333333333336,88.5625,83.0,98.0
0001.821,229.5,30.683333333333334,87.625,83.0,98.0
0001.843,229.2153846153846,32.06153846153846,87.0,83.0,98.0
0001.877,228.06666666666666,31.47692307692308,85.125,83.0,98.0
0001.913,226.87499999999997,29.6,85.0,83.0,98.0
0001.953,223.39999999999998,24.125,85.0,83.0,98.0
0001.975,216.23846153846154,21.0,86.0,83.0,98.0
0002.013,199.775,13.774999999999999,86.0,83.0,98.0
0002.053,170.60000000000002,3.7,86.0,83.0,98.0
0002.089,146.93333333333334,-4.475,86.0,83.0,98.0
0002.119,118.02499999999999,-10.8,87.0,83.0,98.0
0002.155,79.0,-12.615384615384617,92.0,83.0,98.0
0002.188,28.933333333333334,-12.166666666666668,105.5625,83.0,98.0
