RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,337.33333333333337,174.03333333333333,131.0,73.0,98.0
0000.011,359.6375,175.11666666666665,128.0625,73.0,98.0
0000.032,393.02500000000003,176.53846153846155,118.0,73.0,98.0
0000.060,424.8666666666667,199.47500000000002,111.5,73.0,98.0
0000.092,456.8166666666667,262.83076923076925,107.75,73.0,98.0
0000.129,486.1,391.7,107.0,73.0,98.0
0000.160,524.0,504.9916666666667,108.0,73.0,98.0
0000.192,549.0538461538462,619.9333333333334,106.0,73.0,98.0
0000.229,574.1,722.8333333333333,99.5625,73.0,98.0
0000.262,584.8,849.1923076923076,94.375,73.0,98.0
0000.292,579.3,981.7666666666667,88.5,72.99999999999999,98.0
0000.329,563.625,1147.4,83.9375,73.0,98.0
0000.361,564.5538461538462,1266.9833333333333,79.9375,73.0,98.0
0000.393,579.3,1356.230769230769,79.0,73.0,98.0
0000.425,599.1166666666667,1401.0666666666666,79.0,73.0,98.0
0000.463,607.1,1390.95,78.0,73.0,98.0
0000.495,596.9076923076923,1367.7666666666667,77.5625,73.0,98.0
0000.526,592.6333333333333,1323.0,77.0,73.0,98.0
0000.563,611.05,1298.746153846154,75.3125,73.0,98.0
0000.594,624.6000000000001,1297.8,72.375,73.0,98.0
0000.625,629.175,1305.65,72.5625,73.0,98.00000000000001
0000.662,610.15,1303.6625,80.25,73.0,98.0
0000.693,590.05,1269.6538461538462,110.75,73.0,98.00000000000001
0000.725,566.4,1229.4384615384618,134.9375,73.0,98.0
0000.762,544.8000000000001,1178.8230769230768,153.125,73.0,98.0
0000.794,523.8538461538461,1126.5,151.75,73.0,98.0
0000.825,505.84615384615387,1063.5,141.75,73.0,98.0
0000.863,484.4083333333333,974.1499999999999,131.8125,73.0,98.0
0000.894,463.25,891.0769230769231,123.5,73.0,98.0
0000.925,438.9,818.5333333333333,112.0625,73.0,98.0
0000.962,402.45384615384614,764.2,108.375,73.0,98.0
0000.994,361.6923076923077,712.4833333333333,108.0,73.0,98.0
0001.025,315.4916666666667,640.875,107.4375,73.0,98.0
0001.063,239.77499999999998,364.35,104.125,73.0,98.0
0001.094,161.0,54.26666666666666,95.375,73.0,98.0
0001.125,79.61538461538461,-242.28750000000002,89.5625,73.0,98.0
0001.162,-27.60769230769231,-465.1916666666666,82.75,73.0,98.0
0001.194,-131.55,-532.0666666666666,78.875,73.0,98.0
0001.226,-223.02499999999998,-571.4307692307693,75.875,73.0,98.0
0001.263,-309.375,-635.4333333333334,75.0,73.0,98.0
0001.293,-355.38461538461536,-751.6333333333332,74.0,73.0,98.0
0001.325,-390.55,-866.4727272727272,73.0,73.0,98.0
0001.361,-430.1,-956.0666666666666,73.0,73.0,98.0
0001.391,-462.0333333333333,-951.6846153846154,72.0,73.0,98.0
0001.427,-492.75,-940.7538461538461,71.0,73.0,98.0
0001.458,-510.5111111111111,-942.875,69.3125,73.0,98.0
0001.496,-513.075,-947.8444444444444,67.0,73.0,98.0
0001.527,-514.7222222222222,-947.9,68.0,73.0,98.0
0001.558,-511.29999999999995,-935.2,81.5,73.0,98.0
0001.596,-515.525,-912.1538461538462,110.0625,73.0,98.0
0001.628,-522.4,-889.2153846153847,143.875,73.0,98.0
0001.658,-533.1769230769231,-871.5,152.0,73.0,98.0
0001.696,-539.8923076923078,-900.3416666666667,149.3125,73.0,98.0
0001.727,-541.8,-923.8076923076924,140.0,73.0,98.0
0001.758,-532.275,-948.6307692307691,131.25,73.0,98.0
0001.795,-517.4499999999999,-930.6,116.25,73.0,98.0
0001.826,-505.6,-904.6,110.625,73.0,98.0
0001.857,-496.77500000000003,-876.95,109.0,73.0,98.0
0001.894,-480.1333333333334,-836.1,111.0,73.0,98.0
0001.924,-466.87777777777774,-810.575,111.0,73.0,98.0
0001.961,-445.54615384615386,-788.0166666666667,105.625,73.0,98.0
0001.994,-430.6,-762.7,99.625,73.0,98.0
0002.026,-414.95,-743.7538461538461,92.4375,73.0,98.0
0002.063,-401.7625,-708.4333333333334,87.5,73.0,98.0
0002.094,-388.56249999999994,-681.8,84.5625,73.0,98.0
0002.125,-376.7,-662.6666666666666,82.0,73.0,98.0
0002.162,-353.70000000000005,-631.4833333333333,81.0,73.0,98.0
0002.193,-333.71666666666664,-603.9,80.375,73.0,98.0
0002.224,-310.1,-575.4375,80.0,73.0,98.0
0002.261,-276.5076923076923,-554.4833333333333,80.0,73.0,98.0
0002.291,-245.21666666666667,-532.3,78.25,72.91666666666666,98.0
0002.328,-204.45,-503.0,75.9375,72.80654761904762,98.0
0002.359,-170.0666666666667,-456.1166666666667,73.0,72.71428571428572,98.0
0002.392,-135.74615384615385,-380.42499999999995,73.125,72.61607142857142,98.0
0002.429,-107.6,-294.17499999999995,91.125,72.50595238095238,98.0
0002.460,-85.075,-225.25833333333333,112.75,72.41369047619048,98.0
0002.492,-58.8,-192.03846153846155,134.5,72.31845238095238,98.0
0002.528,-32.7875,-163.93333333333334,148.0,72.21130952380952,98.0
0002.559,-14.333333333333336,-153.60000000000002,144.0,72.11904761904762,98.0
0002.592,-1.5499999999999998,-144.98333333333335,131.75,72.02083333333334,98.0
0002.624,10.925,-33.95384615384616,122.1875,72.0,98.0
0002.661,26.491666666666667,92.56153846153846,110.625,72.0,98.0
0002.694,39.69230769230769,198.87500000000003,102.0625,72.0,98.00000000000001
0002.726,57.016666666666666,227.38750000000002,101.0,72.0,98.0
0002.758,79.80000000000001,228.9,102.9375,72.0,98.0
0002.791,122.05,228.05384615384617,102.0,72.0,98.0
0002.825,180.2,227.16666666666669,95.625,72.0,98.0
0002.863,252.90769230769234,246.20833333333331,89.0,72.0,98.0
0002.894,314.325,281.26666666666665,84.06666666666666,72.0,98.0
0002.926,366.2,408.0692307692308,79.5,72.0,98.0
0002.958,400.43333333333334,561.7,76.5,72.0,98.0
0002.995,444.1769230769231,723.7666666666667,75.0,72.0,98.0
0003.026,485.5666666666666,857.65,74.0,72.0,98.0
0003.058,524.8833333333332,937.376923076923,74.0,72.0,98.0
0003.094,544.9666666666667,1095.4,73.0,72.0,98.0
0003.125,542.3307692307693,1239.725,74.0,72.0,98.0
0003.162,557.5692307692308,1370.0,73.0,72.0,98.0
0003.193,588.6,1425.4666666666667,71.8125,72.0,98.0
0003.225,638.5666666666667,1405.5153846153848,69.8125,72.0,98.0
0003.262,664.35,1356.625,70.0,72.0,98.0
0003.293,665.7307692307693,1317.4416666666666,77.625,71.96577380952381,98.0
0003.324,648.6874999999999,1277.875,106.23529411764706,71.91964285714286,98.0
0003.361,623.6,1237.625,131.0,71.86458333333333,98.0
0003.393,607.7166666666667,1196.2384615384615,142.0,71.81696428571428,98.0
0003.425,596.5,1143.1000000000001,138.0,71.76934523809524,98.0
0003.461,584.9,1083.75,129.26666666666668,71.71577380952381,98.0
0003.493,569.4,1040.65,118.25,71.66815476190476,97.99999999999999
0003.524,553.4499999999999,1002.3111111111111,110.5,71.62202380952381,98.0
0003.563,525.5333333333333,951.4846153846153,100.6875,71.5639880952381,98.0
0003.597,500.275,918.6333333333334,99.4375,71.51339285714286,98.0
0003.629,470.1,888.9166666666666,101.0,71.46577380952381,98.0
0003.663,434.95,853.3,99.4375,71.41517857142857,98.0
0003.695,405.3583333333333,827.2846153846154,95.75,71.36755952380952,98.0
