RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,-123.50909090909093,-35.1125,127.60000000000001,75.0,96.0
0000.020,-119.70769230769231,-36.03333333333333,137.5,75.02373887240356,95.99999999999999
0000.043,-116.55,-35.1,145.875,75.0919881305638,96.0
0000.074,-111.9,-31.055555555555557,141.52941176470588,75.1839762611276,96.0
0000.110,-105.15,-26.5,126.6875,75.29080118694361,96.0
0000.139,-100.92222222222222,-21.50769230769231,118.5,75.37685459940653,96.0
0000.174,-96.02307692307693,-19.791666666666664,109.75,75.48071216617211,96.0
0000.209,-91.1,-21.35,101.75,75.58456973293768,96.0
0000.238,-86.53333333333333,-21.025000000000002,100.0625,75.67062314540058,96.0
0000.272,-79.4,-17.30769230769231,103.375,75.77151335311572,96.0
0000.307,-74.03076923076922,-11.216666666666667,105.375,75.8753709198813,96.0
0000.343,-72.45384615384614,-9.55,105.375,75.98219584569733,96.0
0000.372,-73.05384615384615,-8.75,100.125,76.0,96.0
0000.408,-71.56153846153846,-10.0125,94.9375,76.0,96.00000000000001
0000.455,-69.17692307692307,-9.858333333333334,86.75,76.0,95.99999999999999
0000.478,-66.8,-8.608333333333333,84.9375,76.0,96.0
0000.506,-67.125,-8.7875,83.1875,76.0,96.0
0000.541,-60.925000000000004,-3.825,81.0,76.0,96.0
0000.576,-52.41111111111112,-3.4,80.0,76.0,96.0
0000.604,-44.300000000000004,-0.9666666666666667,80.0,76.0,96.0
0000.641,-33.3875,0.6923076923076923,81.25,76.0,96.0
0000.678,-27.825000000000003,4.823076923076924,96.0625,76.0,96.0
0000.708,-24.46666666666667,8.016666666666666,115.25,76.0,96.0
0000.743,-21.3875,8.8,138.625,76.0,96.0
0000.771,-22.8,9.692307692307693,152.375,76.0,96.0
0000.807,-18.475,7.741666666666667,148.5,76.0,96.0
0000.842,-14.03076923076923,6.358333333333334,132.9375,76.0,96.0
0000.870,-8.616666666666667,5.4,123.1875,76.0,96.0
0000.904,-5.583333333333334,6.3375,114.25,76.0,96.0
0000.939,-8.033333333333335,9.033333333333331,104.25,76.0,96.0
0000.972,-9.06923076923077,12.6,103.0,76.0,96.0
0001.006,-5.961538461538462,15.0,105.0625,76.0,96.00000000000001
0001.042,-4.175000000000001,17.2,106.0,76.0,96.0
0001.071,-4.183333333333333,15.976923076923075,103.75,76.0,96.0
0001.105,-4.3999999999999995,15.733333333333333,99.25,76.0,95.99999999999999
0001.140,-3.7222222222222223,17.0,93.6875,76.0,96.0
0001.176,-0.8,22.049999999999997,85.625,76.0,96.0
0001.211,-2.0,26.15833333333333,81.25,76.0,96.0
0001.239,-4.258333333333333,28.176923076923078,78.375,76.0,96.0
0001.274,-1.8692307692307693,26.075000000000003,78.0,76.0,96.0
0001.308,2.425,27.333333333333336,77.0,76.0,96.0
0001.342,10.166666666666668,30.837500000000002,77.0,76.0,96.0
0001.370,16.258333333333333,34.75,77.0,76.0,96.0
0001.404,18.346153846153847,32.65,88.625,76.0,96.0
0001.438,19.8,35.43333333333333,111.8125,76.0,96.0
0001.474,16.9375,36.45,150.5,76.0,96.0
0001.510,19.733333333333334,42.2,161.2,76.0,96.0
0001.538,21.3,40.575,159.5,76.0,96.0
0001.573,23.7,39.05,144.33333333333331,76.0,96.0
0001.610,26.0,35.71666666666667,132.5,76.0,96.0
0001.639,23.6,34.776923076923076,120.25,76.0,96.0
0001.675,22.815384615384612,30.8375,113.1875,76.0,96.0
0001.710,19.133333333333333,24.975,108.0,76.0,96.0
0001.739,19.28333333333333,23.487499999999997,108.0,76.0,96.0
0001.774,20.9,26.4375,106.875,76.0,96.0
0001.808,18.48333333333333,28.123076923076926,102.5,76.0,96.0
0001.842,21.47692307692308,29.6,96.875,76.0,96.0
0001.872,21.5,29.699999999999996,88.25,76.0,96.0
0001.908,25.7,31.807692307692307,81.5,76.0,96.0
0001.942,27.433333333333334,34.684615384615384,76.75,76.0,96.0
0001.972,24.361538461538462,32.35833333333333,73.5,76.0,96.0
0002.013,24.633333333333333,29.624999999999996,71.9375,76.00297619047619,96.0029761904762
0002.042,27.450000000000003,26.53076923076923,71.0,76.08928571428571,96.08928571428572
0002.075,32.150000000000006,26.2125,70.0625,76.1875,96.1875
0002.110,40.45,26.2,70.125,76.29166666666666,96.29166666666667
0002.139,43.36923076923077,26.450000000000003,74.75,76.37797619047619,96.37797619047619
0002.175,46.0,31.375,93.4375,76.48511904761904,96.48511904761904
0002.203,47.8,31.93333333333333,129.1875,76.56845238095238,96.56845238095238
0002.238,49.45,31.275,149.625,76.67261904761905,96.67261904761905
0002.274,47.346153846153854,28.5,152.5,76.7797619047619,96.7797619047619
0002.309,49.29166666666667,26.53333333333333,143.1875,76.88392857142857,96.88392857142857
0002.338,50.075,24.93846153846154,133.125,76.97023809523809,96.9702380952381
0002.373,49.31666666666666,22.15,119.75,77.00000000000001,97.0
0002.410,49.800000000000004,19.65833333333333,111.375,77.0,97.0
0002.440,48.275,18.166666666666664,105.75,77.0,97.00000000000001
0002.476,50.8,17.516666666666666,101.0,77.0,97.0
0002.504,50.9375,19.675,100.25,77.0,97.0
0002.540,53.16666666666667,20.6,97.0,77.0,97.0
0002.575,53.738461538461536,17.883333333333336,91.625,77.0,97.0
0002.609,58.0,13.475000000000001,83.375,77.0,97.0
0002.637,61.4,14.05,78.8125,77.0,97.0
0002.672,63.9375,17.130769230769232,73.5,77.0,97.0
0002.707,66.00833333333333,15.399999999999999,67.5625,77.0,97.0
0002.741,68.75384615384615,16.0,66.4375,77.0,97.0
0002.771,71.4,11.275,65.5625,77.0,97.0
0002.808,83.26666666666665,12.766666666666666,65.0,77.0,97.0
0002.836,96.05,15.55,65.0,77.0,97.0
0002.872,110.40769230769232,17.7,64.0,77.0,97.0
0002.909,120.35384615384616,20.833333333333336,66.1875,77.0,97.0
0002.937,122.59230769230768,23.2625,83.3125,77.0,97.0
0002.971,123.625,21.0,110.125,77.0,97.0
0003.006,126.06249999999999,21.96923076923077,144.625,77.0,97.0
0003.042,122.19999999999999,21.425000000000004,150.625,76.99999999999999,96.99999999999999
0003.071,121.28461538461538,20.049999999999997,147.0625,77.0,97.0
0003.104,122.39166666666665,16.866666666666667,132.0,77.0,97.0
