RelTime,RSPT
0000.000,-497.1
0000.027,-656.875
0000.053,-779.276923076923
0000.087,-934.75
0000.121,-1046.4333333333332
0000.154,-1132.5666666666666
0000.187,-1185.5
0000.220,-1219.8444444444444
0000.254,-1289.446153846154
0000.287,-1363.169230769231
0000.320,-1422.7769230769234
0000.353,-1452.6384615384616
0000.385,-1454.025
0000.418,-1432.625
0000.451,-1421.025
0000.483,-1409.9307692307693
0000.516,-1410.4307692307693
0000.548,-1404.5
0000.581,-1379.7333333333333
0000.614,-1364.0
0000.649,-1329.5615384615385
0000.682,-1337.325
0000.714,-1336.575
0000.755,-1371.9
0000.786,-1400.0
0000.821,-1417.0076923076922
0000.854,-1393.3875
0000.887,-1343.15
0000.920,-1298.5875
0000.952,-1245.9333333333334
0000.987,-1193.9153846153847
0001.020,-1132.6999999999998
0001.052,-1068.9
0001.085,-989.3
0001.120,-901.5692307692307
0001.153,-803.9083333333333
0001.185,-731.3
0001.219,-644.0769230769231
0001.252,-550.6
0001.285,-471.1333333333333
0001.319,-395.55
0001.352,-333.725
0001.386,-254.22499999999997
0001.419,-135.36666666666665
0001.452,-10.625
0001.485,128.35833333333335
0001.517,249.1
0001.548,399.61538461538464
0001.580,540.8333333333334
0001.622,697.225
0001.655,773.8083333333334
0001.688,834.2083333333333
0001.721,867.6666666666666
0001.754,874.0230769230769
0001.789,864.5923076923076
0001.814,857.5
0001.847,869.7
0001.881,883.3375
0001.914,868.3333333333333
0001.947,851.15
0001.982,833.9000000000001
0002.016,817.0999999999999
0002.048,781.9923076923078
0002.080,725.1666666666667
0002.122,682.4333333333333
0002.147,681.1153846153846
0002.181,683.5916666666667
0002.213,674.2666666666668
0002.254,650.6
0002.287,607.7
0002.321,541.4
0002.354,435.2307692307692
0002.386,321.6166666666667
0002.421,167.875
0002.454,-2.699999999999994
0002.487,-196.9
0002.520,-377.875
0002.551,-552.0
0002.586,-707.6
0002.620,-869.1692307692308
0002.653,-993.1692307692307
0002.686,-1093.0
0002.719,-1162.0666666666668
0002.752,-1229.4
0002.785,-1282.769230769231
0002.823,-1355.7923076923075
0002.852,-1396.0
0002.889,-1415.35
0002.915,-1413.5333333333333
0002.950,-1404.1749999999997
0002.984,-1392.65
0003.019,-1380.9
0003.051,-1358.7666666666667
0003.084,-1350.5
0003.117,-1347.8
0003.150,-1343.423076923077
0003.182,-1337.0666666666666
0003.217,-1301.7
0003.252,-1266.0
0003.286,-1224.9333333333332
0003.319,-1206.5076923076922
0003.354,-1184.4333333333334
0003.388,-1132.5666666666666
0003.422,-1076.95
0003.455,-1028.3692307692309
0003.487,-992.9615384615385
0003.520,-962.9000000000001
0003.551,-919.8
0003.583,-872.6615384615384
0003.617,-819.9000000000001
0003.651,-757.2555555555556
0003.684,-694.9499999999999
0003.718,-635.925
0003.752,-595.9333333333334
0003.786,-563.4230769230769
0003.819,-535.2
0003.852,-507.95
0003.885,-493.4
0003.919,-473.39230769230767
0003.953,-454.9
0003.987,-443.1333333333333
0004.023,-432.64166666666665
0004.048,-423.1777777777778
0004.081,-420.225
0004.115,-411.6
0004.149,-399.5
0004.182,-393.8076923076923
0004.216,-376.6
0004.248,-364.5583333333333
0004.282,-380.45000000000005
0004.315,-374.13846153846157
0004.348,-385.2166666666667
0004.381,-361.625
0004.415,-348.9333333333333
0004.448,-335.29999999999995
0004.482,-320.2307692307692
0004.516,-325.1125
0004.549,-303.95
0004.582,-284.175
0004.615,-227.8111111111111
0004.649,-128.3615384615385
0004.682,-13.825000000000006
0004.716,98.86666666666666
0004.749,176.76666666666668
0004.782,253.70000000000002
0004.817,306.0615384615385
0004.852,363.275
0004.886,420.4666666666667
0004.920,489.9833333333333
0004.953,546.9538461538461
0004.987,603.85
0005.021,642.3333333333334
0005.055,703.925
0005.087,754.9333333333334
0005.119,794.0
0005.153,790.975
0005.186,771.975
0005.221,737.9
0005.254,693.2
0005.287,669.4
0005.321,621.6750000000001
0005.354,589.6500000000001
0005.386,570.5384615384615
0005.420,552.1833333333333
0005.453,546.7666666666667
0005.488,544.4
0005.521,513.4
0005.553,506.2692307692308
0005.587,498.71538461538466
0005.621,470.68333333333334
0005.654,466.8
0005.688,436.82499999999993
0005.721,431.18461538461537
0005.753,434.85
0005.786,456.8333333333333
0005.821,467.9625
0005.854,479.5666666666667
0005.886,481.2125
0005.920,488.15555555555557
0005.954,471.25
0005.986,447.4166666666667
0006.021,410.3769230769231
0006.054,382.29166666666663
0006.087,348.075
0006.120,289.14166666666665
0006.153,242.73076923076923
0006.185,159.75
0006.218,60.33333333333333
0006.251,-66.85833333333332
0006.284,-193.25833333333333
0006.318,-317.2583333333333
0006.352,-427.15
0006.387,-535.5
0006.424,-628.1833333333334
0006.450,-696.7307692307693
0006.489,-773.9833333333333
0006.514,-813.3499999999999
0006.548,-861.1499999999999
0006.582,-897.4538461538461
0006.616,-927.45
0006.648,-955.4166666666665
0006.681,-986.1583333333333
0006.717,-1019.1692307692308
0006.751,-1035.575
0006.785,-1052.8625000000002
0006.821,-1078.3166666666668
0006.855,-1102.4666666666665
0006.889,-1120.3
0006.921,-1128.3
0006.954,-1117.8
0006.988,-1085.8000000000002
0007.021,-1053.525
0007.054,-1010.025
0007.088,-984.9076923076922
0007.121,-950.3615384615384
0007.153,-927.7
0007.186,-883.7333333333333
0007.221,-833.8538461538462
0007.255,-785.45
0007.288,-736.85
0007.321,-695.05
0007.347,-653.3333333333333
0007.381,-618.925
0007.416,-569.6666666666667
0007.450,-522.7
0007.482,-470.3538461538462
0007.515,-420.6
0007.548,-363.4
0007.580,-312.475
0007.622,-247.8
0007.654,-205.3
0007.687,-154.43333333333334
0007.720,-104.56666666666666
0007.753,-41.7
0007.786,44.861538461538466
0007.823,114.45384615384616
0007.849,169.45
0007.885,216.8625
0007.924,289.35
0007.952,327.02222222222224
0007.986,375.4
0008.023,405.7
0008.047,426.97499999999997
0008.080,466.46153846153845
0008.114,508.1083333333333
0008.155,547.45
0008.188,583.7083333333333
0008.221,618.175
0008.254,660.5999999999999
0008.288,679.8230769230769
0008.322,686.8666666666667
0008.355,704.2666666666667
0008.388,764.1333333333334
0008.421,818.1
0008.455,887.8923076923077
0008.489,930.5
0008.513,952.3
0008.555,966.55
0008.588,940.2888888888889
0008.622,909.9857142857143
0008.654,893.7666666666667
0008.687,875.8333333333335
0008.720,862.7538461538463
0008.753,842.6916666666666
0008.787,835.9000000000001
0008.824,818.3833333333333
0008.848,817.2692307692308
0008.882,772.2153846153846
0008.915,736.730769230769
0008.948,698.3499999999999
0008.982,668.9
0009.016,662.9444444444445
0009.049,663.125
0009.081,651.6625
0009.114,642.9000000000001
0009.147,601.6461538461538
0009.188,620.6
0009.215,639.5333333333333
0009.248,676.4666666666667
0009.282,683.7153846153847
0009.316,637.4230769230769
0009.349,593.6
0009.384,545.975
0009.417,533.575
0009.450,527.4666666666667
0009.483,507.275
0009.517,502.60769230769233
0009.552,479.2666666666667
0009.588,451.3
0009.624,405.8375
0009.648,386.0333333333333
0009.682,385.9666666666667
0009.716,374.15000000000003
0009.749,365.0769230769231
0009.783,342.7583333333333
0009.817,347.2
0009.851,333.875
0009.886,333.25
0009.921,315.2615384615384
0009.954,313.54615384615386
0009.988,310.6583333333333
0010.015,319.41666666666663
0010.049,307.75384615384615
0010.082,310.59166666666664
0010.115,292.5083333333333
0010.148,284.2083333333333
0010.181,258.2846153846154
0010.214,261.4307692307692
0010.256,236.125
0010.288,241.66153846153847
0010.322,235.55
0010.356,238.93846153846152
0010.383,223.17692307692306
0010.419,197.1
0010.457,182.425
0010.483,177.75
0010.516,155.53846153846155
0010.550,145.56666666666666
0010.584,138.0375
0010.618,126.75000000000001
0010.650,124.26666666666668
0010.684,139.81538461538463
0010.716,136.3
0010.747,145.83333333333334
0010.787,134.78333333333333
0010.821,145.1
0010.854,165.97777777777776
0010.887,182.48461538461538
0010.951,161.64615384615382
0010.960,155.73333333333335
0010.988,126.37692307692308
0011.015,126.81666666666666
0011.053,112.45
0011.093,110.56666666666666
0011.120,106.86923076923077
0011.148,99.8
0011.185,82.0
0011.221,71.0375
0011.258,54.512499999999996
0011.284,50.6
0011.319,31.77692307692308
0011.358,-14.075000000000001
0011.384,-39.150000000000006
0011.420,-58.2
0011.456,-87.85
0011.482,-142.75
0011.518,-206.11666666666667
0011.555,-277.8
0011.590,-358.5307692307692
0011.619,-448.5666666666666
0011.658,-562.4833333333333
0011.684,-656.3499999999999
0011.720,-766.3444444444444
0011.756,-876.276923076923
0011.781,-933.1750000000001
0011.817,-1018.0
0011.852,-1091.5416666666667
0011.889,-1176.3615384615384
0011.914,-1220.7000000000003
0011.950,-1259.7583333333332
0011.984,-1293.0
0012.020,-1337.8538461538462
0012.056,-1362.7076923076922
0012.082,-1377.0666666666666
0012.117,-1368.1833333333334
0012.152,-1343.0
0012.189,-1325.3000000000002
0012.224,-1304.5
0012.248,-1276.6999999999998
0012.282,-1234.7555555555555
0012.317,-1176.023076923077
0012.352,-1126.3
0012.388,-1068.7
0012.415,-1037.4499999999998
0012.450,-986.9153846153846
0012.486,-944.9538461538461
0012.522,-903.8
0012.547,-869.3666666666667
0012.582,-841.1
0012.617,-804.8846153846154
0012.653,-767.4000000000001
0012.681,-720.6916666666667
0012.716,-668.2750000000001
