RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,128.22500000000002,91.5,118.375,71.0,97.0
0000.024,71.16153846153847,71.11666666666666,116.0625,71.0,97.0
0000.062,-23.299999999999997,40.05,99.875,71.0,97.0
0000.094,-93.43846153846155,18.233333333333334,85.5,71.0,97.0
0000.128,-176.25,10.95,60.5,71.0,97.0
0000.154,-241.33846153846156,3.5500000000000003,50.8125,71.0,97.0
0000.185,-304.96923076923076,-4.583333333333334,41.875,71.0,97.0
0000.226,-364.9076923076923,-9.3,34.0625,71.0,97.0
0000.251,-390.5875,-33.93846153846154,32.5,71.0,97.0
0000.288,-416.91249999999997,-102.83333333333334,32.0,71.0,97.0
0000.319,-435.73333333333335,-174.05,32.75,71.0,97.0
0000.361,-445.5615384615385,-269.7583333333333,33.0,71.0,97.0
0000.388,-446.0,-304.47499999999997,33.0,71.0,97.0
0000.420,-442.5666666666666,-342.4384615384615,31.875,71.0,97.0
0000.452,-434.10769230769233,-357.9666666666667,23.8125,71.0,97.0
0000.489,-424.7923076923077,-365.3,17.625,71.0,97.0
0000.521,-418.74166666666673,-381.90000000000003,42.625,71.0,97.0
0000.552,-417.69999999999993,-401.38461538461536,99.875,71.0,97.0
0000.588,-416.6,-421.5,183.125,71.0,97.0
0000.619,-412.44615384615383,-419.4,245.0,71.0,97.0
0000.660,-398.03076923076924,-416.975,246.5,71.0,97.0
0000.685,-390.3125,-416.88461538461536,222.125,71.0,97.0
0000.722,-378.05,-411.47499999999997,193.8125,71.0,97.0
0000.753,-368.4153846153846,-403.8,166.75,71.0,97.0
0000.793,-354.0,-388.25,123.0,71.0,97.0
0000.820,-345.26666666666665,-376.70833333333337,112.8125,71.0,97.0
0000.851,-333.02500000000003,-358.96923076923076,110.0,71.0,96.99999999999999
0000.889,-318.3666666666667,-338.26666666666665,110.0,71.0,97.0
0000.920,-306.4,-325.13750000000005,102.4375,71.0,97.0
0000.951,-293.70833333333337,-316.7333333333333,92.5,71.0,97.0
0000.989,-278.9333333333334,-291.76666666666665,78.25,71.0,97.0
0001.022,-263.83333333333337,-269.4769230769231,64.25,71.0,97.0
0001.054,-245.45,-241.93076923076922,56.9375,71.0,97.0
0001.086,-226.52307692307693,-211.55,49.625,71.0,97.0
0001.128,-201.9,-123.5,44.6875,71.0,97.0
0001.153,-190.6,-64.30000000000001,43.125,71.0,97.0
0001.184,-168.56923076923078,-1.1461538461538452,41.0,71.0,97.0
0001.227,-130.5,39.06153846153846,40.0,71.0,96.99999999999999
0001.253,-101.67500000000001,52.175,37.75,71.0,97.0
0001.284,-67.9,69.5,32.8125,71.0,97.0
0001.322,-25.65,83.80000000000001,33.5,71.0,97.0
0001.354,1.5538461538461537,91.93333333333332,66.5,71.0,97.0
0001.385,27.299999999999997,91.875,125.41176470588235,71.0,97.0
0001.427,61.4,107.0,225.6875,71.0,97.0
0001.459,100.71666666666667,108.26923076923077,239.9375,71.0,97.0
0001.485,137.16666666666669,107.975,228.5,71.0,97.0
0001.527,198.65833333333336,99.71538461538461,200.25,71.0,97.0
0001.552,230.8,106.42500000000001,180.625,71.0,97.0
0001.588,262.35,131.5,137.75,71.0,97.0
0001.620,280.7,155.91111111111113,121.5,71.0,97.0
0001.653,295.3777777777778,170.33333333333331,115.1875,71.0,97.0
0001.685,306.4,175.4,115.8125,71.0,97.0
0001.726,312.2,178.0,108.0,71.0,97.0
0001.751,314.9666666666667,182.94615384615383,99.8125,71.0,97.0
0001.788,316.9153846153846,182.64999999999998,83.625,71.0,97.0
0001.819,314.94615384615383,186.025,63.625,71.0,97.0
