RelTime,RSPT
0000.000,-629.1000000000001
0000.022,-566.2666666666667
0000.049,-501.2923076923077
0000.083,-443.225
0000.118,-419.625
0000.151,-419.375
0000.185,-440.2111111111111
0000.218,-458.6875
0000.252,-451.8666666666667
0000.285,-339.4666666666667
0000.318,-34.13076923076923
0000.352,393.3692307692308
0000.384,797.05
0000.419,1038.5416666666665
0000.454,1092.0666666666666
0000.489,1102.95
0000.516,1675.1
0000.550,2329.6375
0000.584,2898.3
0000.619,2754.2333333333336
0000.652,2318.1615384615384
0000.686,1949.5
0000.719,1679.5
0000.753,1484.1375
0000.785,1352.5
0000.819,1281.0
0000.853,1293.8500000000001
0000.887,1457.0333333333333
0000.923,1619.1666666666665
0000.948,1748.9666666666667
0000.984,1999.253846153846
0001.018,2167.2666666666664
0001.052,2268.508333333333
0001.088,2074.2
0001.122,1728.5333333333333
0001.148,1519.7166666666667
0001.181,1249.1583333333333
0001.216,1103.6666666666667
0001.250,907.7
0001.283,717.5749999999999
0001.317,563.5999999999999
0001.351,387.07499999999993
0001.385,209.75
0001.420,16.07692307692308
0001.456,-77.5923076923077
0001.481,-104.16666666666667
0001.516,-103.0
0001.550,-86.3
0001.583,-53.3
0001.618,7.950000000000001
0001.652,112.7125
0001.686,196.8
0001.721,224.7923076923077
0001.755,230.3
0001.788,196.7
0001.815,184.55
0001.850,187.4076923076923
0001.885,139.90833333333333
0001.920,97.52499999999999
0001.955,-15.5
0001.996,-186.25833333333333
0002.014,-306.325
0002.048,-572.1
0002.083,-784.0333333333333
0002.117,-935.8750000000001
0002.152,-965.1076923076923
0002.185,-945.8
0002.219,-922.075
0002.254,-928.4749999999999
0002.282,-966.4
0002.316,-1044.1
0002.350,-1130.5769230769233
0002.382,-1200.1
0002.417,-1267.9166666666667
0002.450,-1344.8500000000001
0002.484,-1522.1538461538462
0002.522,-1659.7444444444445
0002.557,-1763.6888888888889
0002.585,-1757.8
0002.622,-1737.1499999999999
0002.650,-1717.9625
0002.686,-1677.5923076923077
0002.717,-1653.8249999999998
0002.752,-1623.25
0002.784,-1592.966666666667
0002.818,-1573.623076923077
0002.852,-1538.3076923076924
0002.887,-1496.6538461538462
0002.920,-1436.65
0002.956,-1373.1
0002.985,-1328.5222222222221
0003.020,-1283.4416666666666
0003.048,-1249.3153846153843
0003.083,-1208.0333333333333
0003.118,-1170.65
0003.152,-1128.2230769230769
0003.186,-1084.95
0003.220,-1032.85
0003.257,-965.0166666666668
0003.281,-907.9923076923077
0003.316,-823.9
0003.350,-736.0875
0003.387,-632.4
0003.421,-528.7307692307693
0003.447,-445.20000000000005
0003.481,-281.7125
0003.514,-25.96666666666666
0003.549,305.5444444444445
0003.581,603.575
0003.616,891.25
0003.651,1095.5166666666664
0003.686,1205.6166666666668
0003.721,1195.1615384615384
0003.747,1111.525
0003.781,925.6833333333334
0003.815,685.3615384615384
0003.850,488.69999999999993
0003.885,401.93333333333334
0003.919,445.9083333333333
0003.956,568.225
0003.981,628.9307692307692
0004.016,677.5
0004.052,727.725
0004.086,849.2666666666667
0004.122,994.2583333333333
0004.148,1080.0
0004.182,1092.6
0004.216,1024.675
0004.250,967.2333333333333
0004.284,896.6846153846154
0004.317,683.6538461538462
0004.352,373.55
0004.386,67.0625
0004.420,-54.599999999999994
0004.456,157.34999999999997
0004.481,345.475
0004.516,593.0666666666667
0004.550,701.6916666666666
0004.586,587.1846153846154
0004.614,420.3
0004.651,196.4666666666667
0004.690,12.183333333333334
0004.717,-102.5153846153846
0004.751,-247.5076923076923
0004.786,-360.1
0004.820,-405.0083333333333
0004.856,-414.4666666666667
0004.881,-431.6333333333333
0004.916,-475.91666666666663
0004.953,-582.95
0004.984,-724.25
0005.019,-890.7
0005.057,-1056.8000000000002
0005.083,-1127.2
0005.120,-1164.1999999999998
0005.164,-1147.45
0005.185,-1126.0166666666667
0005.224,-1080.746153846154
0005.251,-1050.5833333333335
0005.287,-1014.8000000000001
0005.322,-981.0375
0005.349,-947.75
0005.382,-868.9
0005.416,-782.1583333333333
0005.450,-674.3
0005.485,-540.3499999999999
0005.519,-403.4555555555556
0005.555,-257.175
0005.578,-162.9
0005.623,-26.000000000000007
0005.649,78.2
0005.682,202.09999999999997
0005.716,306.8666666666667
0005.749,427.80000000000007
0005.782,540.2307692307693
0005.816,807.0461538461539
0005.850,1085.6
0005.884,1449.4
0005.917,1708.8333333333335
0005.950,1947.3153846153848
0005.987,2088.725
0006.021,2100.1833333333334
0006.055,2006.6000000000001
0006.080,1930.5692307692307
0006.113,1831.669230769231
0006.148,1735.4499999999998
0006.183,1645.6999999999998
0006.217,1561.8375
0006.250,1498.5333333333333
0006.285,1460.5
0006.319,1554.1416666666667
0006.353,1695.75
0006.386,1878.3153846153846
0006.420,1983.8615384615384
0006.455,1991.8666666666668
0006.484,2344.8166666666666
0006.520,2980.358333333333
0006.547,3479.869230769231
0006.581,3909.8
0006.615,3909.6
0006.649,3909.6
0006.683,3885.6
0006.716,3824.8076923076924
0006.749,3730.0
0006.781,3630.9666666666667
0006.816,3511.9076923076923
0006.850,3400.353846153846
0006.883,3292.7
0006.916,3191.5
0006.949,3093.8
0006.987,2987.35
0007.021,2894.1
0007.055,2803.0666666666666
0007.080,2737.2
0007.113,2654.4
0007.147,2572.1384615384613
0007.180,2504.566666666667
0007.216,2423.7875000000004
0007.251,2345.2875
0007.285,2276.7333333333336
0007.321,2202.253846153846
0007.354,2135.7333333333336
0007.387,2071.733333333333
0007.419,2012.2583333333332
0007.453,1951.330769230769
0007.488,1888.3166666666666
0007.522,1830.8
