RelTime,RSPT
0000.000,-66.63846153846154
0000.011,-69.61666666666667
0000.021,-71.7
0000.047,-63.78333333333333
0000.055,-57.574999999999996
0000.079,-79.56666666666666
0000.105,-102.575
0000.137,-125.4375
0000.170,-176.0375
0000.203,-235.9923076923077
0000.237,-318.7416666666667
0000.269,-390.5
0000.301,-431.9416666666666
0000.335,-476.8
0000.369,-548.5923076923077
0000.403,-643.525
0000.436,-751.5749999999999
0000.468,-867.1333333333334
0000.501,-977.4538461538461
0000.542,-1112.2846153846156
0000.580,-1190.7833333333333
0000.614,-1240.4416666666666
0000.640,-1255.0666666666666
0000.672,-1283.0384615384614
0000.704,-1316.1583333333333
0000.738,-1353.8153846153846
0000.771,-1386.8
0000.804,-1416.4
0000.838,-1438.2615384615383
0000.871,-1455.3636363636363
0000.903,-1463.5923076923077
0000.936,-1456.425
0000.969,-1472.6692307692306
0001.002,-1469.35
0001.036,-1469.0
0001.069,-1459.525
0001.102,-1435.75
0001.137,-1407.9846153846156
0001.171,-1387.05
0001.204,-1371.5625
0001.239,-1325.025
0001.274,-1281.1
0001.314,-1217.023076923077
0001.332,-1201.4
0001.374,-1156.475
0001.413,-1111.225
0001.438,-1076.1333333333334
0001.470,-1059.8083333333334
0001.502,-1026.55
0001.537,-999.2384615384615
0001.571,-968.15
0001.604,-935.1666666666666
0001.639,-920.8
0001.672,-896.3384615384616
0001.705,-874.8692307692309
0001.740,-852.15
0001.774,-836.3333333333334
0001.808,-826.0250000000001
0001.849,-794.3166666666666
0001.867,-781.7583333333332
0001.900,-757.0666666666667
0001.934,-734.4
0001.968,-736.6999999999999
0002.003,-727.2
0002.037,-702.4166666666667
0002.071,-653.2769230769231
0002.105,-574.2666666666667
0002.137,-528.975
0002.169,-503.81666666666666
0002.202,-475.8538461538461
0002.235,-447.05833333333334
0002.268,-421.37500000000006
0002.300,-379.75
0002.337,-317.75
0002.371,-273.0444444444445
0002.404,-244.0
0002.436,-239.875
0002.468,-220.48333333333335
0002.501,-154.08333333333334
0002.547,-72.05555555555557
0002.568,-25.766666666666666
0002.605,6.366666666666666
0002.634,34.56666666666667
0002.671,61.27692307692307
0002.708,72.02307692307691
0002.735,96.85
0002.772,149.875
0002.813,246.63333333333335
0002.831,286.25
0002.873,388.24999999999994
0002.905,441.7666666666666
0002.938,513.4583333333333
0002.971,581.2692307692308
0003.005,657.2666666666668
0003.038,686.5749999999999
0003.072,719.3
0003.106,751.5833333333334
0003.142,846.9307692307693
0003.169,921.075
0003.202,1005.2666666666667
0003.235,1076.3230769230768
0003.268,1122.4
0003.302,1122.5923076923077
0003.335,1121.1083333333331
0003.370,1110.875
0003.404,1104.2
0003.438,1080.8111111111111
0003.471,1059.04
0003.504,1057.7333333333333
0003.538,1079.5249999999999
0003.573,1093.353846153846
0003.613,1096.9444444444446
0003.646,1080.65
0003.679,1056.4375000000002
0003.713,1046.9500000000003
0003.746,1006.8833333333333
0003.779,969.353846153846
0003.813,911.3333333333335
0003.846,854.1333333333333
0003.879,800.2666666666668
0003.911,760.0923076923077
0003.938,754.75
0003.973,700.8
0004.014,647.0
0004.032,610.8666666666667
0004.078,522.1666666666666
0004.112,440.0
0004.139,362.95000000000005
0004.172,299.6461538461538
0004.206,193.8
0004.239,105.4
0004.272,-44.1
0004.306,-200.7583333333333
0004.340,-365.5230769230769
0004.374,-508.8307692307692
0004.412,-629.9
0004.445,-714.9000000000001
0004.470,-762.323076923077
0004.503,-816.3615384615385
0004.537,-853.5749999999999
0004.570,-907.1333333333332
0004.603,-964.0076923076923
0004.637,-1009.3222222222222
0004.670,-1036.3
0004.703,-1054.6833333333334
0004.737,-1055.95
0004.771,-1054.3923076923077
0004.804,-1043.7923076923078
0004.837,-993.3666666666668
0004.871,-972.4166666666666
0004.905,-930.15
0004.939,-918.7615384615385
0004.972,-908.3142857142857
0005.004,-888.2625
0005.037,-870.7375
0005.070,-841.4333333333334
0005.101,-830.875
0005.137,-809.325
0005.171,-777.8
0005.204,-738.55
0005.237,-714.0692307692308
0005.270,-716.8916666666667
0005.304,-702.1999999999999
0005.337,-669.7
0005.370,-612.0384615384615
0005.404,-573.0666666666667
0005.437,-535.1
0005.470,-522.5
0005.503,-515.1
0005.537,-500.6
0005.571,-464.70000000000005
0005.605,-420.9666666666667
0005.640,-377.8
0005.679,-326.95
0005.698,-306.04545454545456
0005.747,-252.01538461538465
0005.764,-246.7
0005.808,-241.9
0005.847,-245.2846153846154
0005.864,-247.71666666666667
0005.914,-226.1
0005.933,-234.79999999999998
0005.971,-231.45
0006.005,-265.7846153846154
0006.039,-260.05
0006.073,-251.9
0006.107,-217.10000000000002
0006.140,-198.08888888888887
0006.173,-188.55
0006.211,-192.78333333333333
0006.237,-180.825
0006.269,-169.00000000000003
0006.302,-145.83076923076922
0006.338,-126.0
0006.371,-69.1
0006.405,-17.375
0006.439,55.300000000000004
0006.473,129.89999999999998
0006.507,206.975
0006.541,287.5
0006.578,320.4666666666667
0006.604,324.97499999999997
0006.636,341.9875
0006.668,341.55
0006.700,392.2153846153846
0006.748,418.425
0006.765,429.00000000000006
0006.813,466.35
0006.839,503.9916666666667
0006.872,570.3923076923077
0006.906,630.7538461538461
0006.940,635.4166666666666
0006.974,637.85
0007.000,637.2076923076922
0007.033,657.05
0007.080,672.7076923076922
0007.106,681.2666666666667
0007.140,671.6166666666667
0007.174,679.8
0007.206,694.2230769230769
0007.240,712.5125
0007.273,751.225
0007.312,796.5583333333333
0007.338,814.4000000000001
0007.371,865.55
0007.405,849.9181818181819
0007.438,843.6333333333334
0007.472,775.8999999999999
0007.504,717.5307692307692
0007.538,642.05
0007.573,588.5
0007.606,559.8
0007.638,538.0769230769231
0007.671,471.4153846153846
0007.704,391.8666666666667
0007.737,292.9
0007.771,162.8
0007.804,34.550000000000004
0007.835,-75.2
0007.870,-199.3
0007.903,-346.3
0007.937,-484.7538461538461
0007.970,-579.5333333333333
0008.004,-675.9749999999999
0008.038,-760.4666666666666
0008.071,-849.4153846153846
0008.105,-893.5
0008.137,-904.7
0008.170,-890.6249999999999
0008.206,-894.9000000000001
0008.240,-916.8
0008.280,-958.5692307692307
0008.313,-967.7083333333334
0008.332,-973.15
0008.379,-1030.0625
0008.404,-1070.2
0008.437,-1124.0
0008.470,-1167.9
0008.503,-1195.8
0008.538,-1228.5230769230768
0008.571,-1259.0857142857142
0008.604,-1270.3999999999999
0008.636,-1265.3000000000002
0008.668,-1249.525
0008.700,-1244.8076923076924
0008.734,-1227.5666666666668
0008.768,-1206.1000000000001
0008.800,-1171.5615384615382
0008.833,-1139.823076923077
0008.866,-1107.625
0008.914,-1032.7888888888888
0008.947,-964.65
0008.964,-930.2615384615385
0009.006,-857.3461538461538
0009.039,-792.1333333333334
0009.072,-722.6142857142856
0009.105,-657.4000000000001
0009.138,-632.5846153846154
0009.171,-613.6750000000001
0009.204,-598.25
0009.237,-568.0999999999999
0009.269,-550.45
0009.318,-524.2
0009.338,-531.8888888888888
0009.372,-525.0583333333334
0009.412,-529.1909090909091
0009.446,-523.125
0009.481,-510.42499999999995
0009.500,-499.6
0009.535,-459.1333333333333
0009.569,-436.10769230769233
0009.604,-401.5
0009.636,-392.31666666666666
0009.669,-392.375
0009.701,-378.15384615384613
0009.735,-363.9230769230769
0009.768,-330.0
0009.801,-252.9
0009.834,-210.3
0009.868,-172.14166666666668
0009.900,-147.17499999999998
0009.934,-122.28333333333333
0009.967,-117.78333333333333
0010.000,-114.73846153846154
0010.047,-128.96666666666667
0010.080,-122.0
0010.113,-105.84444444444443
0010.146,-100.23750000000001
0010.172,-95.2
0010.203,-101.80769230769232
0010.236,-116.49166666666665
0010.268,-91.9
0010.301,-77.66666666666667
0010.335,-86.64615384615385
0010.368,-108.27692307692308
0010.401,-128.45
0010.433,-139.87500000000003
0010.480,-116.14166666666665
0010.512,-111.75
0010.538,-102.0
0010.570,-82.54166666666666
0010.602,-106.65
0010.635,-109.05384615384615
0010.667,-144.7
0010.713,-153.93333333333334
0010.739,-175.3
0010.771,-178.30769230769232
0010.803,-203.43333333333334
0010.870,-284.2
0010.878,-300.8666666666667
0010.905,-336.55
0010.947,-402.0
0010.966,-416.25
0011.003,-448.16666666666663
0011.039,-479.475
0011.083,-526.8
0011.103,-540.6
0011.142,-524.2625
0011.168,-536.876923076923
0011.204,-555.2461538461539
0011.238,-610.1750000000001
0011.283,-636.875
