RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,15.9,32.425,62.86666666666667,62.0,96.0
0000.020,16.6625,32.050000000000004,63.125,62.0,96.0
0000.054,17.4,31.166666666666668,64.25,62.0,96.0
0000.086,17.55,30.9,66.0,62.0,96.0595238095238
0000.117,20.1,31.515384615384615,66.1875,62.0,96.15178571428572
0000.148,20.646153846153847,31.5,67.125,62.0,96.24404761904762
0000.182,22.3,32.508333333333326,72.0,62.0,96.3452380952381
0000.212,22.725,32.53846153846154,82.0,62.0,96.4345238095238
0000.249,21.141666666666666,32.43846153846154,113.375,62.0,96.54464285714286
0000.281,19.8,31.15,131.5,62.0,96.63988095238095
0000.319,15.692307692307692,27.6,147.875,62.0,96.7529761904762
0000.350,11.3,23.316666666666666,160.25,62.0,96.8452380952381
0000.380,7.199999999999999,13.946153846153846,163.625,62.0,96.93452380952381
0000.418,2.3,-1.2461538461538462,162.0,62.0,96.99999999999999
0000.449,-1.6888888888888889,-21.383333333333333,157.1875,62.00000000000001,97.0
0000.481,-7.038461538461538,-44.68461538461539,147.3125,62.0,97.00000000000001
0000.525,-13.416666666666666,-74.8,124.875,62.0,97.0
0000.547,-17.4,-86.83076923076923,117.75,62.0,97.0
0000.582,-25.438461538461535,-100.1,105.0,62.0,97.0
0000.611,-35.391666666666666,-110.4,98.8125,62.0,97.0
0000.648,-50.85,-119.1,88.875,62.0,97.0
0000.685,-75.925,-122.46666666666667,82.9375,62.0,97.0
0000.715,-95.30769230769232,-122.56923076923077,78.875,62.0,97.0
0000.745,-113.28333333333333,-123.06666666666668,73.125,62.0,97.0
0000.783,-128.58333333333334,-124.36666666666667,69.1875,62.0,97.0
0000.813,-137.96666666666667,-121.96923076923076,66.3529411764706,62.0,97.0
0000.849,-154.43076923076922,-117.15833333333333,65.0,62.0,97.0
0000.878,-170.13846153846154,-111.625,64.0,62.00000000000001,97.0
0000.914,-187.9375,-113.73333333333335,63.94117647058823,62.0,97.0
0000.945,-202.6,-116.35833333333333,63.0,62.0,97.0
0000.980,-214.5,-116.9,64.0,62.0,97.0
0001.016,-225.3,-118.5125,65.0,62.0,97.0
0001.051,-230.1,-120.5125,66.0,62.0,97.0
0001.082,-230.1,-122.6888888888889,67.0,62.00000000000001,97.0
0001.117,-229.425,-123.7,68.75,61.99999999999999,97.0
0001.146,-227.13846153846154,-122.225,75.25,62.0,97.0
0001.182,-226.54999999999998,-119.85,90.5,62.0,97.0
0001.212,-226.5,-120.22500000000001,118.875,62.0,97.0
0001.249,-229.03846153846155,-119.23846153846154,137.58823529411765,62.0,97.0
0001.283,-231.37692307692308,-119.23333333333332,154.25,62.0,97.0
0001.312,-234.03846153846155,-116.70000000000002,159.75,62.0,97.0
0001.347,-235.5375,-116.9,163.0,62.0,97.0
0001.382,-237.0,-116.79230769230767,160.25,62.0,97.0
0001.417,-239.85,-121.7875,151.8125,62.0,97.0
0001.448,-241.67777777777778,-124.775,134.75,62.0,97.0
0001.486,-242.83846153846156,-127.3,122.25,62.00000000000001,97.00000000000001
0001.515,-242.21666666666664,-126.45,115.3125,62.0,97.0
0001.550,-238.86666666666667,-127.69999999999999,105.5,62.00000000000001,97.0
0001.580,-236.1,-126.35,100.125,62.0,97.0
