RelTime,RSPT
0000.000,2262.666666666667
0000.024,2266.8
0000.048,2282.855555555556
0000.079,2306.7
0000.109,2319.375
0000.139,2302.7230769230773
0000.177,2195.3
0000.207,2042.525
0000.246,1821.4
0000.276,1589.8
0000.305,1340.3444444444444
0000.342,928.9384615384616
0000.381,534.925
0000.412,224.4875
0000.441,-88.90833333333333
0000.472,-322.8
0000.509,-546.1
0000.539,-703.3249999999999
0000.576,-879.9
0000.606,-1001.5
0000.643,-1156.2076923076922
0000.673,-1241.1
0000.710,-1326.8333333333335
0000.739,-1360.7
0000.776,-1396.2846153846153
0000.807,-1409.3181818181818
0000.845,-1426.5666666666668
0000.874,-1447.8
0000.911,-1468.7555555555555
0000.942,-1471.6333333333332
0000.980,-1443.9
0001.009,-1421.7333333333333
0001.038,-1412.1
0001.075,-1421.5384615384617
0001.112,-1404.025
0001.142,-1380.4
0001.172,-1354.2749999999999
0001.210,-1335.0769230769229
0001.241,-1302.9416666666666
0001.278,-1263.3166666666666
0001.308,-1243.0333333333333
0001.345,-1213.9
0001.375,-1219.6923076923076
0001.406,-1203.1999999999998
0001.443,-1205.8
0001.473,-1181.75
0001.511,-1148.2166666666667
0001.541,-1137.3142857142857
0001.572,-1095.4
0001.610,-1055.6416666666667
0001.640,-1023.5461538461539
0001.678,-1004.9749999999999
0001.709,-989.9833333333333
0001.740,-1010.8
0001.778,-984.3692307692306
0001.808,-989.9
0001.839,-964.45
0001.875,-942.0749999999999
0001.912,-923.6307692307691
0001.942,-915.2
0001.979,-916.6583333333334
0002.009,-893.1333333333333
0002.047,-861.7333333333333
0002.077,-846.0
0002.107,-837.1
0002.144,-821.7666666666667
0002.173,-788.0
0002.212,-792.05
0002.243,-777.6333333333332
0002.272,-775.3166666666666
0002.309,-744.8333333333333
0002.346,-721.5846153846154
0002.375,-674.5
0002.407,-652.575
0002.445,-608.4333333333334
0002.475,-610.2538461538461
0002.506,-602.6875
0002.543,-568.875
0002.572,-551.65
0002.610,-453.31249999999994
0002.639,-390.12222222222226
